問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
one,1,,I have one brother.,10,,,,,,
two,2,,There are two cats.,10,,,,,,
three,3,,I study three hours a day.,10,,,,,,
four,4,,My family has four people.,10,,,,,,
five,5,,School starts at five to eight.,10,,,,,,
six,6,,I get up at six.,10,,,,,,
seven,7,,A week has seven days.,10,,,,,,
eight,8,,I sleep eight hours.,10,,,,,,
nine,9,,The shop opens at nine.,10,,,,,,
ten,10,,I have ten pencils.,10,,,,,,
hundred,100,two hundred のように前に数を置く,This book has two hundred pages.,10,,,,,,
first,1番目の、最初の,日付にも使う,This is my first time.,10,,,,,,
week,週,,I play tennis twice a week.,10,,,,,,
month,月、ひと月,,February is a short month.,10,,,,,,
hour,時間,h を読まない。an hour となる,I study for an hour.,10,,,,,,
minute,分,,"Wait five minutes, please.",10,,,,,,
Monday,月曜日,曜日は大文字で始める,We have math on Monday.,10,,,,,,
Sunday,日曜日,,I do not go to school on Sunday.,10,,,,,,
January,1月,月の名前も大文字で始める,My birthday is in January.,10,,,,,,
April,4月,,School starts in April.,10,,,,,,
