問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
severely,ひどく、厳しく,severe（厳しい）から,He was severely injured.,10,,,,,,
sex,性別,,"Write your name, age and sex.",10,,,,,,
shadowy,影の多い、ぼんやりした,shadow（影）から,A shadowy figure appeared.,10,,,,,,
shallow,浅い,deep（深い）と対で使う,The pool is shallow here.,10,,,,,,
shame,恥、残念なこと,意味が2つある,What a shame that you missed it.,10,,,,,,
shameful,恥ずべき,shame から,It was a shameful act.,10,,,,,,
sharp,するどい、急な,,Be careful with the sharp knife.,10,,,,,,
shave,ひげをそる,,He shaves every morning.,10,,,,,,
sheer,まったくの、切り立った,意味が2つある,It was sheer luck.,10,,,,,,
sheet,1枚、シーツ,意味が2つある,Give me a sheet of paper.,10,,,,,,
sheriff,保安官,,The sheriff arrived on horseback.,10,,,,,,
shift,移す、交替の勤務,意味が2つある,She works the night shift.,10,,,,,,
shiny,ぴかぴかの,shine（輝く）から,He has shiny black shoes.,10,,,,,,
shiver,（寒さや恐れで）ふるえる,,She shivered in the cold.,10,,,,,,
shocked,ショックを受けた,人の気持ちをあらわす,We were shocked by the news.,10,,,,,,
shocking,衝撃的な,ものごとの側をあらわす,It was a shocking result.,10,,,,,,
shopper,買い物客,shop から,The street was full of shoppers.,10,,,,,,
shortly,まもなく、手短に,short から,She will arrive shortly.,10,,,,,,
shrimp,小エビ,,The salad has shrimp in it.,10,,,,,,
sickness,病気、吐き気,sick（病気の）から,He was absent through sickness.,10,,,,,,
