問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
sit,すわる,sit down で「すわる」,Please sit down.,10,,,,,,
stand,立つ,stand up で「立つ」,"Stand up, everyone.",10,,,,,,
turn,曲がる、回す,,Turn to page twenty.,10,,,,,,
repeat,くり返す,,Repeat after me.,10,,,,,,
try,ためす、やってみる,,Try it again.,10,,,,,,
again,もう一度,,"Say it again, please.",10,,,,,,
together,いっしょに,,Let us sing together.,10,,,,,,
slowly,ゆっくりと,slow（おそい）＋ ly,Please speak slowly.,10,,,,,,
loud,大きい（音が）,,Your voice is too loud.,10,,,,,,
listen carefully,注意して聞く,2語で1つの言い方,Listen carefully to the question.,10,,,,,,
ready,用意ができて,,Are you ready?,10,,,,,,
sure,もちろん、確信して,返事にも使う,"Sure, I can help you.",10,,,,,,
true,本当の,,That story is true.,10,,,,,,
wrong,まちがった,,My answer was wrong.,10,,,,,,
example,例,for example で「たとえば」,Give me an example.,10,,,,,,
idea,考え、アイデア,,That is a good idea.,10,,,,,,
problem,問題,No problem. は「大丈夫です」,I have a problem.,10,,,,,,
mistake,まちがい,,I made a mistake.,10,,,,,,
together with,～といっしょに,3語で1つの意味,I went together with my friend.,10,,,,,,
all right,大丈夫な、よろしい,2語で1つの意味,Are you all right?,10,,,,,,
