問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
purchase price,購入価格,2語で1つの意味,The purchase price includes tax.,10,,,,,,
inquiry,問い合わせ,inquire（尋ねる）から,We received many inquiries.,10,,,,,,
application,申し込み、応用,意味が2つある,Submit your application by Friday.,10,,,,,,
registration,登録,register（登録する）から,Registration closes tomorrow.,10,,,,,,
confirmation,確認,confirm（確認する）から,You will receive a confirmation.,10,,,,,,
cancellation,取り消し,cancel（取り消す）から,There is no cancellation fee.,10,,,,,,
appointment time,予約時刻,2語で1つの意味,Please keep your appointment time.,10,,,,,,
attendance,出席,attend（出席する）から,Attendance is required.,10,,,,,,
participation,参加,participate（参加する）から,Participation is voluntary.,10,,,,,,
membership,会員資格,member（会員）＋ ship,"Membership costs 3,000 yen a year.",10,,,,,,
subscription,定期購読、契約,subscribe（購読する）から,I canceled my subscription.,10,,,,,,
deposit,預金、手付金,,You must pay a deposit.,10,,,,,,
installment,分割払い,,I pay in monthly installments.,10,,,,,,
invoice,請求書,,The invoice arrived today.,10,,,,,,
estimate cost,見積り費用,2語で1つの意味,Please send the estimate cost.,10,,,,,,
procedure manual,手順書,2語で1つの意味,Read the procedure manual first.,10,,,,,,
checklist,確認表,check（確認）＋ list（表）,Use this checklist.,10,,,,,,
deadline extension,締め切りの延長,2語で1つの意味,We requested a deadline extension.,10,,,,,,
notification,通知,notify（通知する）から,You will get a notification.,10,,,,,,
acknowledgment,受領の知らせ、承認,acknowledge（認める）から,Send an acknowledgment of receipt.,10,,,,,,
