問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
rabbit,うさぎ,,We keep a rabbit at school.,10,,,,,,
turtle,かめ,,The turtle moves slowly.,10,,,,,,
frog,かえる,,A frog jumped into the pond.,10,,,,,,
dolphin,いるか,,Dolphins are very smart.,10,,,,,,
panda,パンダ,,The panda eats bamboo.,10,,,,,,
elephant,ぞう,,The elephant has a long nose.,10,,,,,,
giraffe,きりん,,The giraffe has a long neck.,10,,,,,,
lion,ライオン,,The lion is sleeping.,10,,,,,,
tiger,とら,,A tiger has stripes.,10,,,,,,
monkey,さる,,Monkeys like bananas.,10,,,,,,
penguin,ペンギン,,Penguins cannot fly.,10,,,,,,
whale,くじら,,The whale is huge.,10,,,,,,
horse,馬,,I rode a horse.,10,,,,,,
cow,牛,,The cow gives us milk.,10,,,,,,
pig,ぶた,,The pig is pink.,10,,,,,,
sheep,ひつじ,複数形も sheep,The sheep are in the field.,10,,,,,,
duck,あひる,,Ducks swim in the pond.,10,,,,,,
snake,へび,,The snake is long.,10,,,,,,
spider,くも,,A spider made a web.,10,,,,,,
