問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
anybody,だれか、だれでも,,Is anybody home?,10,,,,,,
anyone,だれか,anybody とほぼ同じ,Does anyone know?,10,,,,,,
everybody,みんな,1人として扱う,Everybody likes her.,10,,,,,,
everything,すべてのこと,1つとして扱う,Everything is ready.,10,,,,,,
everywhere,どこでも,,I looked everywhere.,10,,,,,,
another,もう1つの,an ＋ other,Give me another one.,10,,,,,,
once,1度、かつて,意味が2つある,I met him once.,10,,,,,,
later,あとで,late（おそい）の比較級,See you later.,10,,,,,,
away,離れて,go away で「立ち去る」,The station is far away.,10,,,,,,
along,～に沿って,,Walk along this street.,10,,,,,,
alone,ひとりで,all one から生まれた語,She lives alone.,10,,,,,,
out,外へ,,Let us go out.,10,,,,,,
off,離れて、休みの,意味が2つある,Turn off the light.,10,,,,,,
own,自分自身の,my own room で「自分の部屋」,I have my own room.,10,,,,,,
lot,たくさん,a lot of ～ の形で使う,A lot of people came.,10,,,,,,
quickly,すばやく,quick（速い）＋ ly,He answered quickly.,10,,,,,,
carefully,注意深く,careful（注意深い）＋ ly,Read the question carefully.,10,,,,,,
o'clock,～時,正時にだけ使う,It is three o’clock.,10,,,,,,
OK,よろしい、大丈夫な,,Are you OK?,10,,,,,,
well,上手に、よく、健康な,意味が多い,She sings well.,10,,,,,,
