問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
emotion,感情,,She could not hide her emotion.,10,,,,,,
impress,感動させる,impression（印象）から,His speech impressed me.,10,,,,,,
satisfy,満足させる,,The result satisfied everyone.,10,,,,,,
disappoint,がっかりさせる,,The movie disappointed me.,10,,,,,,
regret,後悔する、後悔,,I regret my decision.,10,,,,,,
embarrass,恥ずかしい思いをさせる,,His question embarrassed her.,10,,,,,,
frighten,こわがらせる,fright（恐怖）から,The noise frightened the cat.,10,,,,,,
relieve,安心させる、やわらげる,relief（安心）から,The news relieved me.,10,,,,,,
comfort,なぐさめる、快適さ,,She comforted the crying child.,10,,,,,,
sympathy,同情、共感,,I feel sympathy for them.,10,,,,,,
grateful,感謝している,,I am grateful for your help.,10,,,,,,
jealous,うらやましい、しっとする,,He was jealous of his friend.,10,,,,,,
anxious,心配して、切望して,意味が2つある,She is anxious about the result.,10,,,,,,
calm,落ち着いた、静かな,l を読まない,Please stay calm.,10,,,,,,
upset,動揺した,過去形も upset,She was upset about the news.,10,,,,,,
delighted,大喜びの,delight（喜び）から,I was delighted to hear it.,10,,,,,,
amazed,驚いた,,We were amazed at the view.,10,,,,,,
curiosity,好奇心,curious（好奇心の強い）から,Curiosity helps you learn.,10,,,,,,
courage,勇気,,It takes courage to speak up.,10,,,,,,
confidence,自信,confident（自信のある）から,She spoke with confidence.,10,,,,,,
