問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
athlete,運動選手,,She is a professional athlete.,10,,,,,,
competition,競争、大会,compete（競争する）から,The competition was tough.,10,,,,,,
opponent,対戦相手,,His opponent was strong.,10,,,,,,
endurance,持久力,endure（耐える）から,Marathon needs endurance.,10,,,,,,
strength,力、強さ,strong（強い）から,He has great strength.,10,,,,,,
flexibility,柔軟性,flexible（柔軟な）から,Stretching improves flexibility.,10,,,,,,
warm-up,準備運動,2語で1つの意味,Do a warm-up before running.,10,,,,,,
injury prevention,けが予防,2語で1つの意味,Injury prevention is important.,10,,,,,,
recovery,回復,recover（回復する）から,Recovery takes two weeks.,10,,,,,,
stamina,体力、持久力,,He has good stamina.,10,,,,,,
technique,技術,,Her technique is excellent.,10,,,,,,
strategy,戦略,,We changed our strategy.,10,,,,,,
tactic,戦術,,That was a clever tactic.,10,,,,,,
referee decision,審判の判定,2語で1つの意味,The referee decision was fair.,10,,,,,,
penalty,罰則、ペナルティー,,He received a penalty.,10,,,,,,
qualify,資格を得る、予選を通る,,They qualified for the finals.,10,,,,,,
eliminate from,～から敗退させる,2語で1つの意味,They were eliminated from the tournament.,10,,,,,,
trophy,トロフィー,,She received a trophy.,10,,,,,,
spectator,観客,,Spectators filled the stadium.,10,,,,,,
sportsmanship,スポーツマン精神,,He showed good sportsmanship.,10,,,,,,
