問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
northwest,北西の,north ＋ west,The town lies to the northwest.,10,,,,,,
northwestern,北西の,northwest から,It is a northwestern island.,10,,,,,,
noticeable,目立つ、気づきやすい,notice（気づく）から,There is a noticeable difference.,10,,,,,,
noticeboard,掲示板,英国でよく使う言い方,The list is on the noticeboard.,10,,,,,,
notion,考え、概念,,He had a strange notion.,10,,,,,,
notorious,悪名高い,,The road is notorious for accidents.,10,,,,,,
novelist,小説家,novel（小説）から,The novelist writes every day.,10,,,,,,
nowhere,どこにも〜ない,no ＋ where,The keys were nowhere to be found.,10,,,,,,
nutritious,栄養のある,nutrition（栄養）から,Vegetables are nutritious.,10,,,,,,
object,反対する,「物」の意味の名詞もある,Nobody objected to the plan.,10,,,,,,
objection,反対、異議,object から,She raised an objection.,10,,,,,,
occasion,場合、機会,,We met on several occasions.,10,,,,,,
occasional,ときどきの,occasion から,There were occasional showers.,10,,,,,,
occasionally,ときどき,,I occasionally eat out.,10,,,,,,
occupy,占める、住む,,Books occupy the whole shelf.,10,,,,,,
offensive,不快な、攻撃的な,offend（怒らせる）から,The remark was offensive.,10,,,,,,
officially,公式に,official（公式の）から,The result was officially announced.,10,,,,,,
oily,油っぽい,oil（油）から,The food was too oily.,10,,,,,,
old-fashioned,古くさい、昔ふうの,,He has old-fashioned ideas.,10,,,,,,
on to,〜の上へ,2語で1つの意味。onto とも書く,The cat jumped on to the roof.,10,,,,,,
