問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
I,私は,文の途中でも大文字で書く,I like music.,10,,,,,,
you,あなたは、あなたを,単数も複数も同じ形,You are kind.,10,,,,,,
he,彼は,,He plays soccer.,10,,,,,,
it,それは、それを,,It is raining.,10,,,,,,
we,私たちは,,We are classmates.,10,,,,,,
they,彼らは,,They live in Tokyo.,10,,,,,,
me,私を、私に,I が変化した形,Call me tonight.,10,,,,,,
us,私たちを,we が変化した形,Please help us.,10,,,,,,
them,彼らを,they が変化した形,I saw them at the park.,10,,,,,,
my,私の,,This is my bag.,10,,,,,,
your,あなたの,,What is your name?,10,,,,,,
his,彼の,,His father is a doctor.,10,,,,,,
its,それの,it's（it is）と混同しやすい,The dog wagged its tail.,10,,,,,,
our,私たちの,,Our school is old.,10,,,,,,
their,彼らの,,Their house is big.,10,,,,,,
this,これ、この,近いものを指す,This is my desk.,10,,,,,,
that,あれ、～ということ,意味が2つある,I think that he is right.,10,,,,,,
these,これら,this の複数形,These books are mine.,10,,,,,,
those,あれら,that の複数形,Those flowers are beautiful.,10,,,,,,
each,それぞれの,あとに単数を置く,Each student has a tablet.,10,,,,,,
