問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
tension,緊張,tense（緊張した）から,There was tension in the room.,10,,,,,,
tent,テント,,We put up the tent.,10,,,,,,
terribly,ひどく、とても,terrible（ひどい）から,I am terribly sorry.,10,,,,,,
terrific,すばらしい,terrible とは意味が違うので注意,That was a terrific game.,10,,,,,,
terrified,ひどくおびえた,terrify（おびえさせる）から,She was terrified of the dark.,10,,,,,,
terror,恐怖,,He screamed in terror.,10,,,,,,
terrorism,テロ行為,terror から,They discussed terrorism.,10,,,,,,
thirst,のどのかわき,thirsty（のどがかわいた）から,He felt a great thirst.,10,,,,,,
threatening,おびやかすような,threaten（おびやかす）から,The sky looks threatening.,10,,,,,,
thriller,はらはらさせる映画や小説,thrill（ぞくぞくさせる）から,We watched a thriller.,10,,,,,,
throughout,〜のあいだじゅう、いたるところに,,It rained throughout the day.,10,,,,,,
thumb,親指,b を読まない,He hurt his thumb.,10,,,,,,
thump,どんと打つ、どきどきする,,His heart thumped loudly.,10,,,,,,
thunderous,雷のような、とどろく,thunder（雷）から,There was thunderous applause.,10,,,,,,
thus,このようにして、したがって,かたい書きことば,Thus the problem was solved.,10,,,,,,
tick,かちかち鳴る、チェックの印,意味が2つある,The clock ticked quietly.,10,,,,,,
tighten,きつく締める,tight（きつい）から,Tighten the screw.,10,,,,,,
tightly,しっかりと、きつく,tight から,She held the rope tightly.,10,,,,,,
tile,タイル、かわら,,The floor tiles are cold.,10,,,,,,
timely,時機のよい,time から,It was a timely warning.,10,,,,,,
