問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
am,～です,I とだけ使う be動詞,I am a student.,10,,,,,,
are,～です,you や複数と使う be動詞,You are late.,10,,,,,,
is,～です,三人称単数と使う be動詞,She is my friend.,10,,,,,,
being,～であること,be が変化した形,Being kind is important.,10,,,,,,
I'm,私は～です,I am の短縮形,I'm ready.,10,,,,,,
you're,あなたは～です,you are の短縮形,You're right.,10,,,,,,
it's,それは～です,it is の短縮形,It's cold today.,10,,,,,,
has,持っている,have の三人称単数形,She has two cats.,10,,,,,,
had,持っていた,have の過去の形,I had a good time.,10,,,,,,
having,持っていること,have が変化した形,Having a plan helps.,10,,,,,,
does,する,do の三人称単数形,He does his homework.,10,,,,,,
did,した,do の過去の形,I did my best.,10,,,,,,
doing,していること,do が変化した形,What are you doing?,10,,,,,,
could,～できた、～かもしれない,can の過去の形,I could swim at five.,10,,,,,,
should,～すべきだ,助言に使う,You should rest.,10,,,,,,
would,～だろう、～したい,will の過去の形,I would like some water.,10,,,,,,
not,～ない,否定を作る,I am not busy.,10,,,,,,
really,本当に,real（本当の）＋ ly,It is really cold.,10,,,,,,
maybe,たぶん,may（かもしれない）＋ be,Maybe he is at home.,10,,,,,,
else,ほかに,What else? で「ほかに何か」,Anything else?,10,,,,,,
