問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
book,本,,This book is interesting.,10,,,,,,
notebook,ノート,note（書きとめる）＋ book,I write in my notebook.,10,,,,,,
pen,ペン,,May I use your pen?,10,,,,,,
pencil,えんぴつ,,I have three pencils.,10,,,,,,
eraser,消しゴム,,Can I borrow your eraser?,10,,,,,,
desk,机,,My desk is by the window.,10,,,,,,
bag,かばん,,My bag is very heavy.,10,,,,,,
homework,宿題,数えない名詞。a はつけない,I do my homework after dinner.,10,,,,,,
test,テスト、試験,,We have a test tomorrow.,10,,,,,,
question,質問、問題,,May I ask a question?,10,,,,,,
answer,答え、答える,名詞にも動詞にも使う,Please answer the question.,10,,,,,,
English,英語,国や言語の名前は大文字で始める,I like English very much.,10,,,,,,
math,数学、算数,mathematics を短くした形,Math is difficult for me.,10,,,,,,
science,理科、科学,,Science is my favorite subject.,10,,,,,,
music,音楽,,I listen to music every day.,10,,,,,,
art,美術、芸術,,We have art class on Friday.,10,,,,,,
history,歴史,,I like Japanese history.,10,,,,,,
word,語、単語,,I learn ten new words a day.,10,,,,,,
page,ページ,,Open your book to page ten.,10,,,,,,
club,部活動、クラブ,,I am in the tennis club.,10,,,,,,
