問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
fond,好んでいる,be fond of の形でよく使う,She is fond of animals.,10,,,,,,
fondness,好み、愛着,fond から,He has a fondness for old films.,10,,,,,,
foolish,おろかな,fool（おろか者）から,That was a foolish mistake.,10,,,,,,
forbidden,禁じられた,forbid（禁じる）の形が変わったもの,Smoking is forbidden here.,10,,,,,,
forehead,ひたい,fore（前）＋ head（頭）,She touched his forehead.,10,,,,,,
formal,正式な、あらたまった,,Wear formal clothes to the ceremony.,10,,,,,,
formally,正式に,formal から,He was formally introduced.,10,,,,,,
format,形式、体裁,,Change the format of the file.,10,,,,,,
former,前の、以前の,latter（後者の）と対で使う,He is a former teacher.,10,,,,,,
forth,前へ、外へ,back and forth（行ったり来たり）でよく使う,They walked back and forth.,10,,,,,,
fortnight,2週間,英国でよく使う言い方,We stayed for a fortnight.,10,,,,,,
fortunate,運のよい,fortune（運）から,We were fortunate with the weather.,10,,,,,,
fountain,噴水、泉,,They met by the fountain.,10,,,,,,
fragment,かけら、断片,,He picked up a fragment of glass.,10,,,,,,
freely,自由に,free（自由な）から,You may speak freely.,10,,,,,,
freezer,冷凍庫,freeze（こおらせる）から,Put the meat in the freezer.,10,,,,,,
freezing,こおるように寒い,,It is freezing outside.,10,,,,,,
freshman,1年生,米国でよく使う言い方,He is a freshman at college.,10,,,,,,
friendliness,親しみやすさ,friendly（親しみやすい）から,Her friendliness put us at ease.,10,,,,,,
fright,恐怖、驚き,frighten（おびえさせる）の仲間,The noise gave me a fright.,10,,,,,,
