問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
hunt,狩る、さがす,,They hunted for the lost key.,10,,,,,,
hurriedly,急いで,hurry（急ぐ）から,She hurriedly left the room.,10,,,,,,
hut,小屋,,They slept in a mountain hut.,10,,,,,,
ice hockey,アイスホッケー,2語で1つの意味,He plays ice hockey in winter.,10,,,,,,
ice skating,アイススケート,2語で1つの意味,Ice skating is popular here.,10,,,,,,
identity,身元、独自性,,The police checked his identity.,10,,,,,,
identity card,身分証明書,2語で1つの意味,Show your identity card at the gate.,10,,,,,,
idol,あこがれの人、偶像,,The singer is a teenage idol.,10,,,,,,
illegally,違法に,illegal（違法な）から,The car was parked illegally.,10,,,,,,
illness,病気,ill（病気の）から,He missed school due to illness.,10,,,,,,
illuminate,照らす、明るくする,,Lamps illuminate the garden.,10,,,,,,
imaginary,想像上の,imagine（想像する）から,The story has an imaginary world.,10,,,,,,
imitate,まねる,,Children imitate their parents.,10,,,,,,
immediate,即座の、すぐそばの,immediately（すぐに）の仲間,We need an immediate answer.,10,,,,,,
immigrate,移り住む,入ってくる側に使う,His family immigrated in 1990.,10,,,,,,
immigration,移住、入国審査,,We waited in the immigration line.,10,,,,,,
impair,そこなう、弱める,,Loud noise can impair hearing.,10,,,,,,
impressive,印象的な、みごとな,impress（感心させる）から,The building is impressive.,10,,,,,,
improper,不適切な,proper（適切な）の打ち消し,That was improper behaviour.,10,,,,,,
improvement,改善、上達,improve（改善する）から,There is a clear improvement.,10,,,,,,
