問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
finance,財政、資金,,The company needs finance.,10,,,,,,
financial,財政の、金銭の,finance（財政）から,They face financial trouble.,10,,,,,,
finding,調査でわかったこと,find（見つける）から,The finding surprised the team.,10,,,,,,
fire station,消防署,2語で1つの意味,The fire station is nearby.,10,,,,,,
firework,花火,fire ＋ work,We watched a firework display.,10,,,,,,
firm,しっかりした、固い,「会社」の意味の名詞もある,The bed is quite firm.,10,,,,,,
firmly,しっかりと,firm から,She held the rope firmly.,10,,,,,,
first floor,1階（米国）、2階（英国）,国によって指す階が違う,The shop is on the first floor.,10,,,,,,
first lady,大統領夫人,2語で1つの意味,The first lady gave a speech.,10,,,,,,
first-floor,1階の、2階の,つないで形容詞にした形,We stayed in a first-floor room.,10,,,,,,
fitness,体の調子のよさ,fit（健康な）から,She goes to a fitness club.,10,,,,,,
flash,派手な、けばけばしい,「閃光」の意味の名詞もある,He drives a flash car.,10,,,,,,
flavour,風味、味わい,英国のつづり。米国では flavor,This tea has a rich flavour.,10,,,,,,
flock,（羊や鳥の）群れ,,A flock of birds flew over.,10,,,,,,
flow,流れる、流れ,意味が2つある,The river flows to the sea.,10,,,,,,
flu,インフルエンザ,influenza を短くした言い方,She is in bed with the flu.,10,,,,,,
fluently,流ちょうに,fluent（流ちょうな）から,He speaks French fluently.,10,,,,,,
flunk,落第する,米国の話しことば,He flunked the math test.,10,,,,,,
fold,折りたたむ,,Fold the paper in half.,10,,,,,,
folk,人々、民間の,,The old folk gathered in the square.,10,,,,,,
