問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
left-hand,左側の,2語で1つの意味,Use the left-hand door.,10,,,,,,
right-hand,右側の,2語で1つの意味,It is on the right-hand side.,10,,,,,,
liberty,自由,freedom とほぼ同じ,The statue is a symbol of liberty.,10,,,,,,
max,最大,maximum を短くした形,Ten people max.,10,,,,,,
medical,医療の,medicine（薬）から,She needs medical care.,10,,,,,,
model,模型、模範,,He built a model plane.,10,,,,,,
oak,かし、オーク,,The desk is made of oak.,10,,,,,,
Olympic,オリンピックの,Olympics（オリンピック）から,She is an Olympic swimmer.,10,,,,,,
orphan,孤児,,The orphan was raised by an aunt.,10,,,,,,
pacific,平和な、太平洋の,the Pacific で「太平洋」,We flew across the Pacific.,10,,,,,,
pal,仲間,friend のくだけた言い方,He is an old pal of mine.,10,,,,,,
pence,ペンス,penny の複数形,It costs fifty pence.,10,,,,,,
petrol station,ガソリンスタンド,イギリスでの言い方,Stop at the petrol station.,10,,,,,,
pilgrim,巡礼者,,Pilgrims visit this temple.,10,,,,,,
pleasing,心地よい,please（喜ばせる）から,The design is pleasing.,10,,,,,,
pro,本職の、賛成,professional を短くした形,He turned pro last year.,10,,,,,,
progressive,進歩的な,progress（進歩）から,They took a progressive approach.,10,,,,,,
robin,こまどり,,A robin sang in the garden.,10,,,,,,
roundabout,環状交差点,round ＋ about,Turn left at the roundabout.,10,,,,,,
swimming costume,水着,イギリスでの言い方,Bring your swimming costume.,10,,,,,,
