問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
she,彼女は,he の女性形,She is my sister.,10,,,,,,
her,彼女の、彼女を,she が変化した形,This is her bag.,10,,,,,,
him,彼を、彼に,he が変化した形,I saw him yesterday.,10,,,,,,
hers,彼女のもの,,This pen is hers.,10,,,,,,
his own,彼自身の,2語で1つの意味,He has his own room.,10,,,,,,
mine,私のもの,,That book is mine.,10,,,,,,
yours,あなたのもの,,Is this yours?,10,,,,,,
ours,私たちのもの,,The victory is ours.,10,,,,,,
theirs,彼らのもの,,The house is theirs.,10,,,,,,
myself,私自身,,I made it myself.,10,,,,,,
yourself,あなた自身,,Take care of yourself.,10,,,,,,
himself,彼自身,,He did it himself.,10,,,,,,
herself,彼女自身,,She wrote it herself.,10,,,,,,
ourselves,私たち自身,,We enjoyed ourselves.,10,,,,,,
themselves,彼ら自身,,They introduced themselves.,10,,,,,,
this one,こちらのもの,2語で1つの意味,I will take this one.,10,,,,,,
that one,あちらのもの,2語で1つの意味,That one is cheaper.,10,,,,,,
the others,ほかの人たち,2語で1つの意味,The others are waiting.,10,,,,,,
one another,おたがい,3人以上のときに使う,They talk to one another.,10,,,,,,
