問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
chart,図表,,Look at this chart.,10,,,,,,
chat,おしゃべりする,,We chatted for an hour.,10,,,,,,
cheek,ほお,,Her cheeks turned red.,10,,,,,,
chef,料理長,,The chef made a special dish.,10,,,,,,
chess,チェス,,Do you play chess?,10,,,,,,
chest,胸、大箱,意味が2つある,He has a pain in his chest.,10,,,,,,
childhood,子ども時代,child ＋ hood,I had a happy childhood.,10,,,,,,
chin,あご,,He rested his chin on his hand.,10,,,,,,
cigarette,たばこ,,Cigarettes harm your health.,10,,,,,,
classic,名作の、古典的な,,This is a classic novel.,10,,,,,,
classical music,クラシック音楽,2語で1つの意味,She likes classical music.,10,,,,,,
cleaner,掃除機、清掃員,,The cleaner comes on Monday.,10,,,,,,
clearly,はっきりと,clear（明確な）＋ ly,"Speak clearly, please.",10,,,,,,
clerk,店員、事務員,,The clerk was helpful.,10,,,,,,
click,クリックする,,Click this button.,10,,,,,,
climbing,登ること,climb（登る）＋ ing,Rock climbing is fun.,10,,,,,,
clue,手がかり,,We have no clue.,10,,,,,,
coast,海岸,,We drove along the coast.,10,,,,,,
coin,硬貨,,He collects old coins.,10,,,,,,
comb,くし、とかす,b を読まない,Comb your hair.,10,,,,,,
