問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
presentation slide,発表用のスライド,2語で1つの意味,Make five presentation slides.,10,,,,,,
eye contact,目線を合わせること,2語で1つの意味,Keep eye contact with the audience.,10,,,,,,
gesture,身ぶり,,Use gestures when you speak.,10,,,,,,
pause,間を置く、休止,,Pause before the key point.,10,,,,,,
intonation,抑揚,,Your intonation sounds natural.,10,,,,,,
stress on,～を強く読むこと,2語で1つの意味,Put stress on the first syllable.,10,,,,,,
syllable,音節,,This word has three syllables.,10,,,,,,
shadowing,シャドーイング,shadow（影）＋ ing,Shadowing improves listening.,10,,,,,,
role play,役割演技,2語で1つの意味,We did a role play at the shop.,10,,,,,,
pair work,2人組の活動,2語で1つの意味,Do this in pair work.,10,,,,,,
group discussion,班での話し合い,2語で1つの意味,We had a group discussion.,10,,,,,,
debate,討論、討論する,,The debate was lively.,10,,,,,,
agree with,～に賛成する,2語で1つの意味,I agree with your idea.,10,,,,,,
disagree,反対する,dis（否定）＋ agree,I disagree for two reasons.,10,,,,,,
take turns,交代でする,2語で1つの意味,Take turns speaking.,10,,,,,,
speak up,大きな声で話す,2語で1つの意味,Please speak up.,10,,,,,,
summarize,要約する,summary（要約）から,Summarize the story in three sentences.,10,,,,,,
retell,語り直す,re（再び）＋ tell（話す）,Retell the story in your words.,10,,,,,,
feedback comment,感想や助言,2語で1つの意味,Give a feedback comment.,10,,,,,,
self-check,自己点検,2語で1つの意味,Do a self-check before you finish.,10,,,,,,
