問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
accumulation,蓄積,accumulate（蓄える）から,The accumulation of snow was heavy.,10,,,,,,
assumption that,～という前提,2語で1つの意味,The assumption that prices fall is wrong.,10,,,,,,
correlation between,～の間の相関,2語で1つの意味,The correlation between the two is weak.,10,,,,,,
deterioration,悪化,deteriorate（悪化する）から,The deterioration continued.,10,,,,,,
distinction between,～の間の区別,2語で1つの意味,Make a distinction between the two.,10,,,,,,
fluctuation,変動,fluctuate（変動する）から,Price fluctuation worries farmers.,10,,,,,,
formulation,策定、定式化,formulate（策定する）から,The formulation took months.,10,,,,,,
inclination,傾向、傾き,incline（傾く）から,He has an inclination to argue.,10,,,,,,
interpretation of,～の解釈,2語で1つの意味,Your interpretation of the poem differs.,10,,,,,,
intervention in,～への介入,2語で1つの意味,Intervention in the market was rare.,10,,,,,,
perception of,～の受け止め方,2語で1つの意味,Perception of risk varies.,10,,,,,,
presumption,推定,presume（推定する）から,That is only a presumption.,10,,,,,,
prohibition,禁止,prohibit（禁じる）から,The prohibition was lifted.,10,,,,,,
proportion of,～の割合,2語で1つの意味,The proportion of elderly rose.,10,,,,,,
resistance to,～への抵抗,2語で1つの意味,There was resistance to the change.,10,,,,,,
restriction on,～への制限,2語で1つの意味,They placed a restriction on entry.,10,,,,,,
supposition,仮定,suppose（仮定する）から,"That is a supposition, not a fact.",10,,,,,,
tolerance for,～への寛容さ,2語で1つの意味,Tolerance for error is low.,10,,,,,,
transformation,変容,transform（変える）から,The transformation was gradual.,10,,,,,,
verification,検証,verify（検証する）から,Verification takes time.,10,,,,,,
