問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
bring,持ってくる,話し手に近づける,Bring your notebook tomorrow.,10,,,,,,
carry,運ぶ,,He carried the heavy box.,10,,,,,,
catch,つかまえる,,I caught the ball.,10,,,,,,
throw,投げる,,Throw the ball to me.,10,,,,,,
push,押す,,Push this button.,10,,,,,,
pull,引く,,"Pull the door, please.",10,,,,,,
break,こわす、こわれる,,Do not break the window.,10,,,,,,
fix,直す、修理する,,My father fixed my bike.,10,,,,,,
build,建てる,,They built a new library.,10,,,,,,
grow,育つ、育てる,,These flowers grow fast.,10,,,,,,
choose,選ぶ,,Choose one from these.,10,,,,,,
decide,決める,,I decided to study abroad.,10,,,,,,
agree,賛成する,agree with ～ の形で使う,I agree with you.,10,,,,,,
believe,信じる,,I believe your story.,10,,,,,,
understand,理解する,under（下に）＋ stand（立つ）,I understand your question.,10,,,,,,
explain,説明する,,Please explain it again.,10,,,,,,
introduce,紹介する,,Let me introduce my friend.,10,,,,,,
invite,招待する,,She invited me to the party.,10,,,,,,
borrow,借りる,持ち出して借りる,May I borrow your pen?,10,,,,,,
lend,貸す,borrow の反対,Can you lend me your book?,10,,,,,,
