問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
masterpiece,傑作,master（名人）＋ piece（作品）,This painting is a masterpiece.,10,,,,,,
portrait,肖像画,,He painted her portrait.,10,,,,,,
landscape,風景、風景画,,The landscape is beautiful.,10,,,,,,
sketch,スケッチ、下書き,,She made a quick sketch.,10,,,,,,
canvas,キャンバス、画布,,The canvas was blank.,10,,,,,,
exhibit work,作品を展示する,2語で1つの意味,They exhibit work by young artists.,10,,,,,,
critic,批評家,criticize（批評する）から,The critic praised the film.,10,,,,,,
review article,批評記事,2語で1つの意味,I read a review article.,10,,,,,,
genre,ジャンル、種類,,What genre do you like?,10,,,,,,
theme,主題、テーマ,,The theme is friendship.,10,,,,,,
plot,筋、あらすじ,,The plot is complicated.,10,,,,,,
character role,登場人物の役,2語で1つの意味,She played a difficult character role.,10,,,,,,
script,台本,,He wrote the script.,10,,,,,,
rehearsal,リハーサル、下けいこ,,Rehearsal starts at six.,10,,,,,,
performance,演技、上演,perform（演じる）から,The performance was excellent.,10,,,,,,
applause,拍手,,The applause lasted a minute.,10,,,,,,
composer work,作曲家の作品,2語で1つの意味,We studied a composer work.,10,,,,,,
orchestra,オーケストラ、管弦楽団,,The orchestra played beautifully.,10,,,,,,
conductor,指揮者、車掌,意味が2つある,The conductor raised his baton.,10,,,,,,
improvise,即興でやる,,The pianist improvised.,10,,,,,,
