問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
stem,茎、幹,,The stem of the flower broke.,10,,,,,,
stick,棒、くっつく,意味が2つある,The stamp will not stick.,10,,,,,,
sticker,シール,stick から,She put a sticker on her book.,10,,,,,,
sticky,ねばねばした,stick から,My hands are sticky.,10,,,,,,
stormy,あらしの,storm（あらし）から,It was a stormy night.,10,,,,,,
storyteller,話し上手な人、語り手,story ＋ teller,My grandfather is a good storyteller.,10,,,,,,
strain,負担、緊張,,The work put a strain on him.,10,,,,,,
strangely,奇妙に、不思議なことに,strange（奇妙な）から,He behaved strangely.,10,,,,,,
strategic,戦略の,strategy（戦略）から,It was a strategic decision.,10,,,,,,
stream,小川、流れ,,A small stream runs nearby.,10,,,,,,
strengthen,強くする,strength（強さ）から,Exercise strengthens the heart.,10,,,,,,
stressed,ストレスを感じた,人の気持ちをあらわす,She felt stressed before the exam.,10,,,,,,
stressful,ストレスの多い,ものごとの側をあらわす,It was a stressful week.,10,,,,,,
stricken,打ちのめされた、おそわれた,strike（打つ）の形が変わったもの,The stricken town needed help.,10,,,,,,
strip,細長い一片、はぎ取る,意味が2つある,Cut the paper into strips.,10,,,,,,
struggle,もがく、苦労する,,He struggled to open the door.,10,,,,,,
stubborn,がんこな,,My brother is stubborn.,10,,,,,,
stuck,動かなくなった、行きづまった,stick の形が変わったもの,The door is stuck.,10,,,,,,
studio,仕事場、スタジオ,,The artist works in a small studio.,10,,,,,,
stuffed,詰め物をした、いっぱいの,stuff（詰める）から,She gave him a stuffed bear.,10,,,,,,
