問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
work experience,職場体験,2語で1つの意味,We did work experience for three days.,10,,,,,,
career path,進路,2語で1つの意味,Think about your career path.,10,,,,,,
aptitude test,適性検査,2語で1つの意味,We took an aptitude test.,10,,,,,,
high school entrance,高校入試,2語で1つの意味,The high school entrance is in February.,10,,,,,,
interview practice,面接練習,2語で1つの意味,We had interview practice.,10,,,,,,
resume,履歴書、再開する,意味が2つある,Write your resume carefully.,10,,,,,,
apprentice,見習い,,He works as an apprentice.,10,,,,,,
craftsman,職人,craft（技）＋ man（人）,The craftsman made this by hand.,10,,,,,,
technician,技術者,technique（技術）から,The technician fixed the machine.,10,,,,,,
architect,建築家,,She wants to be an architect.,10,,,,,,
pharmacist,薬剤師,pharmacy（薬局）から,The pharmacist explained the dose.,10,,,,,,
veterinarian,獣医,vet と短く言うこともある,The veterinarian treated our dog.,10,,,,,,
accountant,会計士,account（会計）＋ ant（人）,The accountant checked the books.,10,,,,,,
civil servant,公務員,2語で1つの意味,She became a civil servant.,10,,,,,,
firefighter,消防士,fire（火）＋ fighter（戦う人）,The firefighter saved a cat.,10,,,,,,
caregiver job,介護の仕事,2語で1つの意味,A caregiver job requires patience.,10,,,,,,
workplace,職場,work（働く）＋ place（場所）,The workplace was quiet.,10,,,,,,
qualification,資格,qualify（資格を得る）から,This job needs a qualification.,10,,,,,,
on-the-job training,実地研修,3語で1つの意味,They offer on-the-job training.,10,,,,,,
part-time job,アルバイト,2語で1つの意味,He has a part-time job.,10,,,,,,
