問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
high,高い,低いは low,The mountain is very high.,10,,,,,,
low,低い,高いは high,Speak in a low voice.,10,,,,,,
real,本当の、現実の,,Is this a real diamond?,10,,,,,,
large,大きい,big とほぼ同じ,She has a large family.,10,,,,,,
main,主な,,What is the main reason?,10,,,,,,
young,若い,old の反対,My brother is young.,10,,,,,,
hard,かたい、難しい、熱心に,意味が多い,This bread is hard.,10,,,,,,
social,社会の、社交的な,society（社会）から,We study social problems.,10,,,,,,
human,人間の、人間,,This is a human right.,10,,,,,,
personal,個人の,person（人）から,That is a personal question.,10,,,,,,
original,もとの、独自の,origin（起源）から,This is the original plan.,10,,,,,,
complete,完全な、仕上げる,名詞にも動詞にも使う,Complete the sentence.,10,,,,,,
related,関係のある,relate（関係づける）から,These two are related.,10,,,,,,
recent,最近の,recently（最近）から,This is recent news.,10,,,,,,
latest,最新の,late（おそい）の最上級,Read the latest issue.,10,,,,,,
given,与えられた、決まった,give の変化した形,Answer the given questions.,10,,,,,,
required,必要とされる,require（必要とする）から,A uniform is required.,10,,,,,,
provided,与えられた,provide（与える）から,Lunch is provided.,10,,,,,,
above,～の上に、上記の,below の反対,Look at the picture above.,10,,,,,,
even,～でさえ、平らな,意味が2つある,Even a child knows that.,10,,,,,,
