問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
cycling,サイクリング,cycle（自転車に乗る）＋ ing,Cycling is good exercise.,10,,,,,,
dancer,ダンサー,dance ＋ er,She is a professional dancer.,10,,,,,,
danger,危険,dangerous（危険な）から,There is no danger here.,10,,,,,,
daylight,日光、昼間,day ＋ light,We arrived before daylight.,10,,,,,,
dead,死んだ,alive の反対,The plant is dead.,10,,,,,,
death,死,die（死ぬ）から,His death shocked everyone.,10,,,,,,
deeply,深く,deep（深い）＋ ly,I am deeply grateful.,10,,,,,,
developed,発展した,develop（発展する）から,Japan is a developed country.,10,,,,,,
diamond,ダイヤモンド,,The ring has a small diamond.,10,,,,,,
diary,日記,,I keep a diary in English.,10,,,,,,
die,死ぬ,death（死）から,The flowers died in the cold.,10,,,,,,
differently,違うふうに,different（異なる）＋ ly,He sees it differently.,10,,,,,,
difficulty,困難,difficult（難しい）から,I had difficulty finding it.,10,,,,,,
digital camera,デジタルカメラ,2語で1つの意味,She bought a digital camera.,10,,,,,,
dinosaur,恐竜,,The museum has a dinosaur.,10,,,,,,
direct,直接の、指揮する,意味が2つある,Take a direct flight.,10,,,,,,
director,監督、責任者,direct（指揮する）＋ or,The director shouted cut.,10,,,,,,
disappointed,がっかりした,disappoint（失望させる）から,I was disappointed at the result.,10,,,,,,
dislike,嫌う,dis（否定）＋ like,I dislike crowded places.,10,,,,,,
disturb,じゃまする,,Do not disturb him.,10,,,,,,
