問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
abundance,豊富さ,abundant（豊富な）から,There is an abundance of food.,10,,,,,,
adversity,逆境,adverse（不利な）から,She overcame adversity.,10,,,,,,
affinity,親近感、相性,,He has an affinity for numbers.,10,,,,,,
aftermath,余波、影響,after（後）＋ math,The aftermath lasted years.,10,,,,,,
appetite for,～への意欲,2語で1つの意味,There is an appetite for change.,10,,,,,,
backlash,反発,back（後ろ）＋ lash（打つ）,The plan caused a backlash.,10,,,,,,
benchmark,基準、指標,bench（台）＋ mark（印）,We set a new benchmark.,10,,,,,,
bottleneck,障害、隘路,bottle（びん）＋ neck（首）,Approval is the bottleneck.,10,,,,,,
breakdown,内訳、故障,意味が2つある,Show me the cost breakdown.,10,,,,,,
caliber,力量、口径,,She is a writer of high caliber.,10,,,,,,
conviction,確信、有罪判決,意味が2つある,He spoke with conviction.,10,,,,,,
deterrent,抑止力,deter（思いとどまらせる）から,Fines act as a deterrent.,10,,,,,,
disparity,格差,,There is a wage disparity.,10,,,,,,
distinction,区別、名誉,意味が2つある,Make a clear distinction.,10,,,,,,
downturn,景気の落ちこみ,down（下）＋ turn（転換）,The downturn hurt sales.,10,,,,,,
framework agreement,枠組み合意,2語で1つの意味,They signed a framework agreement.,10,,,,,,
hindsight,あとから見た知恵,hind（後ろ）＋ sight（見ること）,"In hindsight, it was a mistake.",10,,,,,,
insight,洞察,in（中）＋ sight（見ること）,Her insight was valuable.,10,,,,,,
milestone,節目、里程標,mile（マイル）＋ stone（石）,This is an important milestone.,10,,,,,,
outlook,見通し、考え方,out（外）＋ look（見る）,The economic outlook improved.,10,,,,,,
