問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
specialise,専門にする,英国のつづり,She specialises in history.,10,,,,,,
specialist,専門家,special から,He saw a heart specialist.,10,,,,,,
specialize,専門にする,米国のつづり。specialise と同じ,The shop specializes in tea.,10,,,,,,
specially,特別に,special から,This cake was made specially for you.,10,,,,,,
spectacular,目をみはる、壮観な,,The view was spectacular.,10,,,,,,
sphere,球、分野,意味が2つある,The earth is almost a sphere.,10,,,,,,
spice,香辛料,,Add a little spice to the curry.,10,,,,,,
spiral,らせんの,,The stairs form a spiral shape.,10,,,,,,
spirit,精神、気力,,She showed a fighting spirit.,10,,,,,,
spiritual,精神の、宗教的な,spirit から,It was a spiritual experience.,10,,,,,,
spoil,だめにする、甘やかす,意味が2つある,Rain spoiled our picnic.,10,,,,,,
sponge,スポンジ,,Wipe the table with a sponge.,10,,,,,,
sponsor,後援者、後援する,意味が2つある,A local shop sponsors the team.,10,,,,,,
sports,スポーツ用の,sports car のように使う,He drives a sports car.,10,,,,,,
stable,安定した,「馬小屋」の意味の名詞もある,His condition is now stable.,10,,,,,,
stall,屋台、売り場,,She runs a fruit stall.,10,,,,,,
status,地位、状態,,What is the status of the order?,10,,,,,,
steadily,着実に、絶え間なく,steady（着実な）から,The rain fell steadily.,10,,,,,,
steel,鋼鉄,steal（盗む）と発音が同じ,The gate is made of steel.,10,,,,,,
steep,（傾きが）急な,,The hill is very steep.,10,,,,,,
