問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
hobby,趣味,,My hobby is reading.,10,,,,,,
collection,収集、コレクション,collect（集める）＋ ion,He has a coin collection.,10,,,,,,
gardening,園芸,garden（庭）＋ ing,Gardening is good exercise.,10,,,,,,
fishing,釣り,fish（魚をとる）＋ ing,We went fishing last Sunday.,10,,,,,,
hiking,ハイキング,,Hiking is popular in autumn.,10,,,,,,
camping,キャンプ,,We enjoy camping in summer.,10,,,,,,
knitting,編みもの,,My grandmother enjoys knitting.,10,,,,,,
pottery,陶芸,,She takes a pottery class.,10,,,,,,
calligraphy,書道,,Japanese calligraphy is beautiful.,10,,,,,,
origami,折り紙,日本語から英語になった語,He taught me origami.,10,,,,,,
puzzle,パズル、なぞ,,This puzzle is difficult.,10,,,,,,
board game,ボードゲーム,2語で1つの意味,We played a board game.,10,,,,,,
amusement park,遊園地,2語で1つの意味,The amusement park was crowded.,10,,,,,,
aquarium,水族館,,We saw dolphins at the aquarium.,10,,,,,,
exhibition,展覧会,exhibit（展示する）から,The exhibition ends next week.,10,,,,,,
entertainment,娯楽,entertain（楽しませる）から,This city has good entertainment.,10,,,,,,
relaxation,くつろぎ,relax（くつろぐ）から,Music is my relaxation.,10,,,,,,
leisure,余暇,,What do you do in your leisure time?,10,,,,,,
enjoyable,楽しい,enjoy（楽しむ）＋ able,It was an enjoyable trip.,10,,,,,,
