問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
begin,始める、始まる,start とほぼ同じ,The class begins at nine.,10,,,,,,
blow,吹く,,The wind is blowing hard.,10,,,,,,
climb,登る,b を読まない,We climbed the hill.,10,,,,,,
cut,切る,過去形も cut,Cut the paper in half.,10,,,,,,
dig,掘る,,The dog dug a hole.,10,,,,,,
drive,運転する、車で行く,driver（運転手）から,My father drives to work.,10,,,,,,
feed,えさをやる,food（食べもの）から,Feed the fish once a day.,10,,,,,,
fight,戦う、けんか,名詞にも動詞にも使う,Do not fight with your brother.,10,,,,,,
fly,飛ぶ、はえ,意味が2つある,Birds fly south in winter.,10,,,,,,
hide,隠れる、隠す,,The cat hid under the bed.,10,,,,,,
hurry,急ぐ,Hurry up. で「急いで」,"Hurry, or we will be late.",10,,,,,,
jump,跳ぶ,,The frog jumped away.,10,,,,,,
kick,ける,,He kicked the ball hard.,10,,,,,,
kill,殺す,,Frost killed the flowers.,10,,,,,,
kiss,キスする、キス,名詞にも動詞にも使う,She kissed her baby.,10,,,,,,
move,動く、引っ越す,意味が2つある,Do not move the desk.,10,,,,,,
pick,選ぶ、つむ,pick up で「拾う」,Pick a card.,10,,,,,,
pray,祈る,,They prayed for peace.,10,,,,,,
ride,乗る,,I ride my bike to school.,10,,,,,,
ring,鳴る、指輪,意味が2つある,The phone is ringing.,10,,,,,,
