問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
diplomacy,外交,,Diplomacy prevented a conflict.,10,,,,,,
treaty,条約,,The two countries signed a treaty.,10,,,,,,
alliance,同盟,,They formed an alliance.,10,,,,,,
summit,首脳会談、頂上,意味が2つある,The summit was held in Paris.,10,,,,,,
delegate,代表、委任する,,She was a delegate to the meeting.,10,,,,,,
ambassador,大使,,The ambassador gave a speech.,10,,,,,,
embassy,大使館,,Contact the embassy for a visa.,10,,,,,,
refugee,難民,,The country accepted refugees.,10,,,,,,
humanitarian,人道的な,human（人間）から,They sent humanitarian aid.,10,,,,,,
aid,援助、援助する,,The country received aid.,10,,,,,,
sanction,制裁、認可,意味が2つある,They imposed economic sanctions.,10,,,,,,
territory,領土,,The island is disputed territory.,10,,,,,,
border,国境、境界,,They crossed the border.,10,,,,,,
globalization,グローバル化,global（世界的な）から,Globalization changed trade.,10,,,,,,
multinational,多国籍の,multi（多）＋ national,This is a multinational company.,10,,,,,,
cultural exchange,文化交流,2語で1つの意味,Cultural exchange builds trust.,10,,,,,,
interpretation,通訳、解釈,interpret（通訳する）から,The interpretation was accurate.,10,,,,,,
conference,会議,,The conference lasted three days.,10,,,,,,
resolution,決議、解決,,They passed a resolution.,10,,,,,,
neutral,中立の,,That country remained neutral.,10,,,,,,
