問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
in terms of,～の観点から,3語で1つの意味,"In terms of cost, it is fine.",10,,,,,,
with regard to,～に関して,3語で1つの意味,"With regard to your question, yes.",10,,,,,,
in contrast to,～とは対照的に,3語で1つの意味,"In contrast to last year, sales rose.",10,,,,,,
due to,～のために,2語で1つの意味,The delay was due to snow.,10,,,,,,
owing to,～のために,due to とほぼ同じ,"Owing to rain, we stayed in.",10,,,,,,
as far as,～する限りでは,3語で1つの意味,"As far as I know, it is true.",10,,,,,,
provided that,～という条件で,2語で1つの意味,You may go provided that you finish.,10,,,,,,
in case of,～の場合には,3語で1つの意味,"In case of fire, use the stairs.",10,,,,,,
regardless of,～に関係なく,2語で1つの意味,"Regardless of age, all can join.",10,,,,,,
apart from,～は別として,2語で1つの意味,"Apart from the price, it is good.",10,,,,,,
prior to,～より前に,2語で1つの意味,"Prior to the meeting, read this.",10,,,,,,
in accordance with,～に従って,3語で1つの意味,Act in accordance with the rules.,10,,,,,,
on behalf of,～を代表して,3語で1つの意味,I speak on behalf of the team.,10,,,,,,
in favor of,～に賛成して,3語で1つの意味,Most voted in favor of the plan.,10,,,,,,
at the expense of,～を犠牲にして,4語で1つの意味,He worked at the expense of his health.,10,,,,,,
in advance,前もって,2語で1つの意味,Please pay in advance.,10,,,,,,
to some extent,ある程度,3語で1つの意味,"To some extent, that is true.",10,,,,,,
by means of,～によって,3語で1つの意味,We traveled by means of a boat.,10,,,,,,
as opposed to,～とは対照的に,3語で1つの意味,"Tea, as opposed to coffee, is mild.",10,,,,,,
in the long run,長い目で見れば,4語で1つの意味,"In the long run, it saves money.",10,,,,,,
