問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
cushion,クッション、和らげる,,Put a cushion on the chair.,10,,,,,,
customs,税関,いつも複数の形で使う,We passed through customs.,10,,,,,,
cv,履歴書,英国でよく使う言い方,Send your cv by email.,10,,,,,,
cycle,周期、自転車で行く,意味が2つある,The cycle repeats every year.,10,,,,,,
daisy,ヒナギク,花の名前,She picked a daisy.,10,,,,,,
damaged,傷ついた、こわれた,damage（傷つける）から,The damaged car was towed away.,10,,,,,,
dangerously,危険なほどに,dangerous（危険な）から,He drove dangerously fast.,10,,,,,,
darkness,暗さ、やみ,dark（暗い）から,We waited in the darkness.,10,,,,,,
dating,交際、年代を調べること,意味が2つある,They started dating last year.,10,,,,,,
daze,ぼんやりした状態,in a daze の形でよく使う,She walked around in a daze.,10,,,,,,
dazzle,まぶしがらせる,,The lights dazzled the driver.,10,,,,,,
deaf,耳が聞こえない,発音は「デフ」,He has been deaf since birth.,10,,,,,,
dealer,販売する人、業者,deal（取り引きする）から,The car dealer called me.,10,,,,,,
debris,がれき、破片,発音は「デブリー」,Debris covered the road.,10,,,,,,
declaration,宣言、申告,declare（宣言する）から,They signed the declaration.,10,,,,,,
decline,断る、減る,意味が2つある,Sales declined last month.,10,,,,,,
deed,行い,,It was a kind deed.,10,,,,,,
defence,防御、守り,英国のつづり。米国では defense,Their defence was strong.,10,,,,,,
defender,守る人、（競技の）守備の選手,defend（守る）から,He plays as a defender.,10,,,,,,
deficiency,不足,,The illness came from a deficiency.,10,,,,,,
