問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
悪い,わるい,よくないと思われるようす,,15,わるい,,,
安い,やすい,ねだんがひくい,,15,やすい,,,
暗い,くらい,光がすくなくて見えにくい,,15,くらい,,,
委員,いいん,かかりをまかされた人,,15,いいん,,,
意味,いみ,ことばがさし示すもの,,15,いみ,,,
医者,いしゃ,病気をなおす人,,15,いしゃ,,,
育てる,そだてる,世話をして大きくする,,15,そだてる,,,
店員,てんいん,店ではたらく人,,15,てんいん,,,
飲む,のむ,口から中へ入れる,,15,のむ,,,
病院,びょういん,医者がいるたてもの,,15,びょういん,,,
運ぶ,はこぶ,物を別の場所へ移す,,15,はこぶ,,,
泳ぐ,およぐ,水の中を進む,,15,およぐ,,,
駅,えき,電車が止まるところ,,15,えき,,,
中央,ちゅうおう,まん中のところ,,15,ちゅうおう,,,
横,よこ,左右のむき,,15,よこ,,,
屋根,やね,家のいちばん上のおおい,,15,やね,,,
温かい,あたたかい,ちょうどよいぬくもりがある,,15,あたたかい,,,
化ける,ばける,すがたを変える,,15,ばける,,,
荷物,にもつ,運ぶ品物,,15,にもつ,,,
世界,せかい,地球のぜんたい,,15,せかい,,,
開く,ひらく,とじていたものをあける,,15,ひらく,,,
二階,にかい,たてものの上の方のゆか,,15,にかい,,,
寒い,さむい,気温がひくくて冷える,,15,さむい,,,
感じる,かんじる,心や体で受け取る,,15,かんじる,,,
漢字,かんじ,中国から伝わった文字,,15,かんじ,,,
図書館,としょかん,本を貸してくれるところ,,15,としょかん,,,
岸,きし,水ぎわの陸地,,15,きし,,,
期間,きかん,あることが続くあいだ,,15,きかん,,,
起きる,おきる,ねむりからさめる,,15,おきる,,,
客,きゃく,たずねてきた人,,15,きゃく,,,
宮,みや,神さまをまつるたてもの,,15,みや,,,
急ぐ,いそぐ,速くしようとする,,15,いそぐ,,,
野球,やきゅう,ボールを打って点を取る競技,,15,やきゅう,,,
研究,けんきゅう,くわしく調べること,,15,けんきゅう,,,
学級,がっきゅう,学校のクラス,,15,がっきゅう,,,
去る,さる,その場からはなれる,,15,さる,,,
橋,はし,川をわたるための道,,15,はし,,,
作業,さぎょう,手を動かして進める仕事,,15,さぎょう,,,
薬局,やっきょく,薬を売る店,,15,やっきょく,,,
曲がる,まがる,まっすぐでなくなる,,15,まがる,,,
銀,ぎん,白く光る金ぞく,,15,ぎん,,,
区,く,市の中を分けたまとまり,,15,く,,,
苦しい,くるしい,つらくてがまんできない,,15,くるしい,,,
道具,どうぐ,何かをするための物,,15,どうぐ,,,
君,きみ,相手をよぶことば,,15,きみ,,,
係,かかり,受け持つ役目,,15,かかり,,,
軽い,かるい,重さがすくない,,15,かるい,,,
決める,きめる,はっきりとさだめる,,15,きめる,,,
血,ち,体の中を流れる赤いえき,,15,ち,,,
研ぐ,とぐ,こすってするどくする,,15,とぐ,,,
県,けん,日本を分けた地方のまとまり,,15,けん,,,
車庫,しゃこ,車を入れておく場所,,15,しゃこ,,,
湖,みずうみ,陸にかこまれた広い水,,15,みずうみ,,,
向く,むく,その方へ体を回す,,15,むく,,,
幸せ,しあわせ,心が満ちたりた気持ち,,15,しあわせ,,,
港,みなと,船がとまるところ,,15,みなと,,,
記号,きごう,物事を表すしるし,,15,きごう,,,
根,ね,植物の土の中の部分,,15,ね,,,
祭り,まつり,神さまをまつる行事,,15,まつり,,,
坂道,さかみち,かたむいた道,,15,さかみち,,,
皿,さら,食べ物をのせる平たい入れ物,,15,さら,,,
仕事,しごと,お金をもらってする作業,,15,しごと,,,
使う,つかう,役立てるために用いる,,15,つかう,,,
始まる,はじまる,ものごとの一歩目がおきる,,15,はじまる,,,
指,ゆび,手の先の五本,,15,ゆび,,,
死ぬ,しぬ,命がなくなる,,15,しぬ,,,
詩,し,気持ちを短いことばで表したもの,,15,し,,,
歯,は,口の中でかむための固いもの,,15,は,,,
事,こと,おこったものごと,,15,こと,,,
持つ,もつ,手にとってささえる,,15,もつ,,,
次,つぎ,すぐあとに続くもの,,15,つぎ,,,
式,しき,きまった作法で行う会,,15,しき,,,
実,み,植物がつける食べられる部分,,15,み,,,
写す,うつす,同じものを作る,,15,うつす,,,
作者,さくしゃ,作品を作った人,,15,さくしゃ,,,
主人,しゅじん,家や店のあるじ,,15,しゅじん,,,
取る,とる,手に持って自分のものにする,,15,とる,,,
守る,まもる,こわされないようにする,,15,まもる,,,
酒,さけ,大人が飲むもの,,15,さけ,,,
受ける,うける,こちらへ来たものを取る,,15,うける,,,
九州,きゅうしゅう,日本の南西にある大きな島,,15,きゅうしゅう,,,
拾う,ひろう,落ちている物を取り上げる,,15,ひろう,,,
終わる,おわる,ものごとがすむ,,15,おわる,,,
習う,ならう,教えてもらって身につける,,15,ならう,,,
集める,あつめる,一か所によせる,,15,あつめる,,,
住む,すむ,そこで生活する,,15,すむ,,,
重い,おもい,目方が大きい,,15,おもい,,,
宿題,しゅくだい,家でやる勉強,,15,しゅくだい,,,
場所,ばしょ,そこにあるところ,,15,ばしょ,,,
暑い,あつい,気温が高くて汗が出る,,15,あつい,,,
助ける,たすける,こまっている人に力を貸す,,15,たすける,,,
勝つ,かつ,相手をやぶる,,15,かつ,,,
商店,しょうてん,品物を売る店,,15,しょうてん,,,
昭和,しょうわ,むかしの年号,,15,しょうわ,,,
消す,けす,見えないようにする,,15,けす,,,
文章,ぶんしょう,いくつかの文のまとまり,,15,ぶんしょう,,,
乗る,のる,上にあがって運ばれる,,15,のる,,,
植える,うえる,土に根をおろさせる,,15,うえる,,,
深い,ふかい,そこまでのきょりが大きい,,15,ふかい,,,
申す,もうす,言うことのていねいな言い方,,15,もうす,,,
真ん中,まんなか,ちょうど中央のところ,,15,まんなか,,,
神,かみ,まつられているそんざい,,15,かみ,,,
身長,しんちょう,体の高さ,,15,しんちょう,,,
進む,すすむ,前へ動いていく,,15,すすむ,,,
世の中,よのなか,人が暮らす社会,,15,よのなか,,,
整える,ととのえる,きちんとした形にする,,15,ととのえる,,,
昔,むかし,ずっと前の時代,,15,むかし,,,
全部,ぜんぶ,のこらずすべて,,15,ぜんぶ,,,
感想,かんそう,心に思ったこと,,15,かんそう,,,
相談,そうだん,たがいに話し合うこと,,15,そうだん,,,
送る,おくる,相手のところへとどける,,15,おくる,,,
息,いき,はく空気とすう空気,,15,いき,,,
速い,はやい,動きに時間がかからない,,15,はやい,,,
家族,かぞく,いっしょに暮らす身内,,15,かぞく,,,
他,ほか,それ以外のもの,,15,ほか,,,
打つ,うつ,強くたたく,,15,うつ,,,
対決,たいけつ,勝ち負けをはっきりつけること,,15,たいけつ,,,
待つ,まつ,来るまでそこにいる,,15,まつ,,,
代わる,かわる,別のものに入れかわる,,15,かわる,,,
第一,だいいち,いちばんはじめ,,15,だいいち,,,
話題,わだい,話の中身,,15,わだい,,,
炭,すみ,木をやいて作るねんりょう,,15,すみ,,,
短い,みじかい,長さがすくない,,15,みじかい,,,
面談,めんだん,会って話をすること,,15,めんだん,,,
着る,きる,服を身につける,,15,きる,,,
柱,はしら,たてものをささえるぼう,,15,はしら,,,
注ぐ,そそぐ,えきたいを入れる,,15,そそぐ,,,
丁目,ちょうめ,町を分けた区切り,,15,ちょうめ,,,
