問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
mad,腹を立てた、夢中の,意味が2つある,Do not get mad at me.,10,,,,,,
magic,魔法、手品,,He showed us a magic trick.,10,,,,,,
main course,主菜,2語で1つの意味,The main course was fish.,10,,,,,,
mainly,主に,main（主な）＋ ly,The class is mainly for beginners.,10,,,,,,
maker,作る人、製造元,make ＋ er,Who is the maker of this car?,10,,,,,,
make-up,化粧,2語で1つの意味,She wears little make-up.,10,,,,,,
mall,ショッピングモール,,We met at the mall.,10,,,,,,
manner,方法、態度,manners で「作法」,He answered in a polite manner.,10,,,,,,
mark,印、点数,意味が2つある,Put a mark here.,10,,,,,,
married,結婚している,marry（結婚する）から,They are married.,10,,,,,,
marry,結婚する,marriage（結婚）から,She married a teacher.,10,,,,,,
marvelous,すばらしい,,The view was marvelous.,10,,,,,,
medal,メダル,,He won a gold medal.,10,,,,,,
mention,言及する,,She mentioned your name.,10,,,,,,
metal,金属,,The box is made of metal.,10,,,,,,
midday,正午,mid ＋ day,We meet at midday.,10,,,,,,
midnight,真夜中,mid ＋ night,The shop closes at midnight.,10,,,,,,
might,～かもしれない,may の過去の形,It might rain tonight.,10,,,,,,
military,軍の,,He joined the military band.,10,,,,,,
mineral water,ミネラルウォーター,2語で1つの意味,"A bottle of mineral water, please.",10,,,,,,
