問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
weakness,弱さ、弱点,weak（弱い）から,Everyone has a weakness.,10,,,,,,
weapon,武器,,The knight carried a weapon.,10,,,,,,
weather forecast,天気予報,2語で1つの意味,The weather forecast says rain.,10,,,,,,
webcam,ウェブカメラ,web ＋ camera,Turn on your webcam.,10,,,,,,
weird,奇妙な、風変わりな,ei のつづりに注意,That was a weird dream.,10,,,,,,
well-dressed,身なりのよい,,A well-dressed man entered.,10,,,,,,
westward,西の方へ,west ＋ ward（〜の方へ）,They travelled westward.,10,,,,,,
westwards,西の方へ,英国でよく使う形。westward と同じ,The road runs westwards.,10,,,,,,
whenever,〜するときはいつでも,when を強めた形,Come whenever you like.,10,,,,,,
wherever,〜するところはどこでも,where を強めた形,Sit wherever you want.,10,,,,,,
whichever,どちらでも、どれでも,which を強めた形,Take whichever you prefer.,10,,,,,,
whistle,口笛、笛を吹く,意味が2つある。t を読まない,The referee blew his whistle.,10,,,,,,
whoever,〜する人はだれでも,who を強めた形,Whoever finishes first may go.,10,,,,,,
wildly,荒々しく、むやみに,wild（野生の）から,The crowd cheered wildly.,10,,,,,,
windscreen,フロントガラス,英国でよく使う言い方,The windscreen was covered in ice.,10,,,,,,
windsurfing,ウインドサーフィン,wind ＋ surfing,She took up windsurfing.,10,,,,,,
wing,つばさ、羽,,The bird spread its wings.,10,,,,,,
wire,針金、電線,,Cut the wire carefully.,10,,,,,,
wither,しおれる、かれる,,The flowers withered in the heat.,10,,,,,,
wizard,すばらしい,「魔法使い」の意味の名詞もある,He is wizard at chess.,10,,,,,,
