問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
argue,議論する、主張する,,They argued about the plan.,10,,,,,,
discussion,話し合い,discuss（話し合う）＋ ion,We had a long discussion.,10,,,,,,
suggest,提案する,,I suggest we start early.,10,,,,,,
recommend,すすめる,,I recommend this book.,10,,,,,,
accept,受け入れる,,She accepted our invitation.,10,,,,,,
refuse,断る,accept の反対,He refused the offer.,10,,,,,,
doubt,疑う、疑い,b を読まない,I doubt his story.,10,,,,,,
realize,気づく、実現する,,I realized my mistake.,10,,,,,,
consider,よく考える,,Please consider my idea.,10,,,,,,
imagine,想像する,image（像）から,Imagine a world without war.,10,,,,,,
expect,予期する、期待する,,I expect he will come.,10,,,,,,
guess,推測する,,Can you guess my age?,10,,,,,,
judge,判断する、裁判官,名詞にも動詞にも使う,Do not judge people by appearance.,10,,,,,,
prefer,～のほうを好む,prefer A to B の形で使う,I prefer tea to coffee.,10,,,,,,
depend,～次第である、頼る,depend on ～ の形で使う,It depends on the weather.,10,,,,,,
mind,心、気にする,意味が2つある,Do you mind if I open the window?,10,,,,,,
attitude,態度,,His attitude changed.,10,,,,,,
purpose,目的,on purpose で「わざと」,What is the purpose of this meeting?,10,,,,,,
meaning,意味,mean（意味する）＋ ing,What is the meaning of this word?,10,,,,,,
