問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
physical education,体育,2語で1つの意味。P.E. と略す,We have physical education today.,10,,,,,,
home economics,家庭科,2語で1つの意味,We cook in home economics.,10,,,,,,
social studies,社会科,2語で1つの意味,Social studies is interesting.,10,,,,,,
calligraphy class,書写の授業,2語で1つの意味,We have a calligraphy class.,10,,,,,,
moral education,道徳,2語で1つの意味,Moral education is on Friday.,10,,,,,,
timetable,時間割,time（時間）＋ table（表）,Check the timetable.,10,,,,,,
recess,休み時間,,We play outside during recess.,10,,,,,,
lunch break,昼休み,2語で1つの意味,The lunch break is 45 minutes.,10,,,,,,
cleaning time,そうじの時間,2語で1つの意味,Cleaning time is after lunch.,10,,,,,,
homeroom,学級活動、担任の教室,,Homeroom starts at 8:30.,10,,,,,,
class duty,日直、当番,2語で1つの意味,It is my class duty today.,10,,,,,,
school lunch,給食,2語で1つの意味,School lunch is delicious.,10,,,,,,
assembly time,朝会の時間,2語で1つの意味,Assembly time is on Monday.,10,,,,,,
principal,校長,,The principal gave a speech.,10,,,,,,
school nurse,保健の先生,2語で1つの意味,Go see the school nurse.,10,,,,,,
nurse office,保健室,2語で1つの意味,He is in the nurse office.,10,,,,,,
staff room,職員室,2語で1つの意味,The staff room is upstairs.,10,,,,,,
school year,学年、年度,2語で1つの意味,The school year starts in April.,10,,,,,,
grade level,学年,2語で1つの意味,What grade level are you in?,10,,,,,,
