問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
glue,のり、接着剤,,Use glue to stick the paper.,10,,,,,,
scissors,はさみ,いつも複数形で使う,Be careful with the scissors.,10,,,,,,
ruler,定規,rule（線を引く）から,Draw a line with a ruler.,10,,,,,,
stapler,ホチキス,staple（とじる）＋ er,Where is the stapler?,10,,,,,,
folder,ファイル、紙ばさみ,fold（折る）＋ er,Put it in the blue folder.,10,,,,,,
tape,テープ,,"Cut some tape, please.",10,,,,,,
compass,コンパス、方位磁石,意味が2つある,Draw a circle with a compass.,10,,,,,,
protractor,分度器,,Measure the angle with a protractor.,10,,,,,,
chalk,チョーク,数えない名詞,The teacher used white chalk.,10,,,,,,
eraser dust,消しかす,2語で1つの意味,Clean up the eraser dust.,10,,,,,,
pencil case,筆箱,2語で1つの意味,My pencil case is blue.,10,,,,,,
backpack,リュック、ランドセル,back（背中）＋ pack（包み）,My backpack is heavy.,10,,,,,,
whiteboard,ホワイトボード,white（白）＋ board（板）,Write it on the whiteboard.,10,,,,,,
bulletin board,掲示板,2語で1つの意味,Check the bulletin board.,10,,,,,,
handout,配布物、プリント,hand out（配る）から,Take one handout each.,10,,,,,,
worksheet,学習プリント,work（作業）＋ sheet（紙）,Finish the worksheet.,10,,,,,,
projector,プロジェクター,project（映す）＋ or,Turn on the projector.,10,,,,,,
tablet,タブレット、錠剤,意味が2つある,Each student has a tablet.,10,,,,,,
trash can,ごみ箱,2語で1つの意味,Put it in the trash can.,10,,,,,,
