問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
morning,朝・午前,in the morning で「朝に」,I study in the morning.,10,,,,
afternoon,午後,in the afternoon で「午後に」,We play tennis in the afternoon.,10,,,,
evening,夕方・晩,in the evening で「夕方に」,He reads books in the evening.,10,,,,
night,夜,at night で「夜に」,Stars are beautiful at night.,10,,,,
today,今日,前置詞は付けません,Today is my birthday.,10,,,,
tomorrow,明日,See you tomorrow. の形でよく使います,I will call you tomorrow.,10,,,,
yesterday,昨日,過去の文で使います,I met him yesterday.,10,,,,
week,週,this week で「今週」,We have a test next week.,10,,,,
month,月,this month で「今月」,This month is very busy.,10,,,,
year,年,last year で「昨年」,I was ten last year.,10,,,,
time,時間,What time is it? で「何時ですか」,I have no time today.,10,,,,
hour,1時間,h を読まない点に注意,We walked for two hours.,10,,,,
minute,分,時間の単位です,Wait a minute please.,10,,,,
park,公園,動詞では「駐車する」,Children play in the park.,10,,,,
station,駅,train station で「鉄道の駅」,The station is near my house.,10,,,,
city,都市・市,複数形は cities です,Tokyo is a big city.,10,,,,
country,国・いなか,複数形は countries です,Japan is a beautiful country.,10,,,,
world,世界,all over the world で「世界中で」,She wants to travel the world.,10,,,,
place,場所,動詞では「置く」,This is my favorite place.,10,,,,
way,道・方法,on the way で「とちゅうで」,Please show me the way.,10,,,,
