問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
achievement gap,学力格差,2語で1つの意味,They studied the achievement gap.,10,,,,,,
agenda,議題、予定表,,What is on the agenda?,10,,,,,,
analysis,分析,複数形は analyses,The analysis took a week.,10,,,,,,
background,背景、経歴,,Tell me about your background.,10,,,,,,
breakthrough,大きな進展,break（破る）＋ through（通り抜けて）,It was a medical breakthrough.,10,,,,,,
consensus,意見の一致,,We reached a consensus.,10,,,,,,
context,文脈、背景,,Read the word in context.,10,,,,,,
contrast,対比、対照,in contrast で「対照的に」,There is a sharp contrast.,10,,,,,,
discipline of study,学問分野,3語で1つの意味,Physics is a discipline of study.,10,,,,,,
equipment,装備、機器,数えない名詞,The equipment is expensive.,10,,,,,,
evidence base,根拠となる事実,2語で1つの意味,We need a stronger evidence base.,10,,,,,,
exception,例外,except（除く）から,There is one exception.,10,,,,,,
implication,影響、含意,imply（ほのめかす）から,The implications are serious.,10,,,,,,
infrastructure cost,基盤整備の費用,2語で1つの意味,Infrastructure cost is rising.,10,,,,,,
innovation process,革新の過程,2語で1つの意味,The innovation process takes years.,10,,,,,,
maintenance,維持、保守,maintain（維持する）から,The machine needs maintenance.,10,,,,,,
objective view,客観的な見方,2語で1つの意味,Take an objective view.,10,,,,,,
perspective on,～についての見方,2語で1つの意味,Give me your perspective on this.,10,,,,,,
proposal,提案,propose（提案する）から,They accepted our proposal.,10,,,,,,
scope,範囲,,That is beyond the scope of this study.,10,,,,,,
