問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
corporation,企業、法人,,He works for a large corporation.,10,,,,,,
enterprise,企業、事業,,It is a small enterprise.,10,,,,,,
investment,投資,invest（投資する）から,The investment paid off.,10,,,,,,
revenue,収入、歳入,,Revenue increased this year.,10,,,,,,
expense,費用、経費,expensive（高価な）から,Travel expenses are covered.,10,,,,,,
asset,資産,,Employees are our greatest asset.,10,,,,,,
liability,負債、責任,,The company reduced its liabilities.,10,,,,,,
merger,合併,merge（合併する）から,The merger was announced.,10,,,,,,
bankruptcy,倒産,,The firm filed for bankruptcy.,10,,,,,,
recession,景気後退,,The recession lasted two years.,10,,,,,,
inflation,物価上昇,,Inflation hurts households.,10,,,,,,
currency,通貨,,The yen is our currency.,10,,,,,,
stock market,株式市場,2語で1つの意味,The stock market fell today.,10,,,,,,
shareholder,株主,share（株）＋ holder（持つ人）,Shareholders met yesterday.,10,,,,,,
competitor,競合相手,compete（競争する）から,Our competitor lowered prices.,10,,,,,,
negotiation,交渉,negotiate（交渉する）から,The negotiation went well.,10,,,,,,
contract,契約、契約する,,We signed a two-year contract.,10,,,,,,
warranty,保証書,,The warranty covers one year.,10,,,,,,
wholesale,卸売り,,They sell at wholesale prices.,10,,,,,,
retail,小売り,wholesale の反対,The retail price is higher.,10,,,,,,
