問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
acquire,獲得する,get よりかたい言い方,He acquired new skills.,10,,,,,,
adapt,適応する、合わせる,,Animals adapt to their environment.,10,,,,,,
adopt,採用する、養子にする,adapt と混同しやすい,They adopted a new rule.,10,,,,,,
analyze,分析する,analysis（分析）から,Let us analyze the data.,10,,,,,,
anticipate,予期する,expect よりかたい言い方,We anticipate a busy season.,10,,,,,,
assess,評価する、査定する,,The teacher assessed our work.,10,,,,,,
assign,割り当てる,assignment（課題）から,She assigned the task to me.,10,,,,,,
associate,結びつける,association（協会）から,I associate this smell with summer.,10,,,,,,
assume,仮定する、思い込む,,Do not assume it is true.,10,,,,,,
attain,達成する,,She attained her goal.,10,,,,,,
clarify,明確にする,clear（明確な）から,Please clarify your point.,10,,,,,,
conduct,行う、指揮する,,They conducted a survey.,10,,,,,,
confirm,確認する,,Please confirm your reservation.,10,,,,,,
consist,成り立つ,consist of ～ の形で使う,The team consists of ten members.,10,,,,,,
constitute,構成する,,These parts constitute the whole.,10,,,,,,
demonstrate,実演する、証明する,,He demonstrated how to use it.,10,,,,,,
derive,得る、由来する,derive from ～ の形で使う,This word derives from Latin.,10,,,,,,
determine,決定する,,The result determines our plan.,10,,,,,,
distinguish,区別する,distinguish A from B の形で使う,Can you distinguish the two?,10,,,,,,
eliminate,取り除く,,We eliminated the errors.,10,,,,,,
