問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
barbecue,バーベキュー,,We had a barbecue in the yard.,10,,,,,,
bargain,掘り出しもの、交渉する,,This coat is a bargain.,10,,,,,,
base,基地、土台,,The base of the tower is wide.,10,,,,,,
bay,湾,,Tokyo Bay is busy.,10,,,,,,
beauty,美しさ,beautiful（美しい）から,The beauty of the lake is famous.,10,,,,,,
beg,請う、たのむ,,He begged for help.,10,,,,,,
beginner,初心者,begin（始める）＋ er,This class is for beginners.,10,,,,,,
beginning,始まり,begin（始める）＋ ing,Start from the beginning.,10,,,,,,
belong,属する,belong to ～ の形で使う,This book belongs to me.,10,,,,,,
belt,ベルト,,Fasten your seat belt.,10,,,,,,
bench,ベンチ,,We sat on a bench.,10,,,,,,
beyond,～を越えて,,The village is beyond the hill.,10,,,,,,
bit,少し,a bit で「少し」,I am a bit tired.,10,,,,,,
bite,かむ、ひとかじり,名詞にも動詞にも使う,The dog bit my shoe.,10,,,,,,
bloom,咲く、花,,The cherry trees bloom in April.,10,,,,,,
boiled,ゆでた,boil（ゆでる）から,I ate a boiled egg.,10,,,,,,
bookcase,本だな,book ＋ case,The bookcase is full.,10,,,,,,
bookshelf,本だな,book ＋ shelf,Put it on the bookshelf.,10,,,,,,
bookshop,書店,イギリスでの言い方,The bookshop closes at eight.,10,,,,,,
boss,上司,,My boss is very kind.,10,,,,,,
