問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
go,行く,過去形は went です,I go to the park on Sunday.,10,,,,
come,来る,過去形は came です,Please come to my house.,10,,,,
eat,食べる,過去形は ate です,We eat lunch at noon.,10,,,,
drink,飲む,過去形は drank です,I drink milk every morning.,10,,,,
sleep,眠る,過去形は slept です,Cats sleep a lot.,10,,,,
study,勉強する,study English で「英語を勉強する」,I study math after dinner.,10,,,,
read,読む,過去形も read ですが発音が変わります,I read the news every day.,10,,,,
write,書く,過去形は wrote です,Please write your name here.,10,,,,
speak,話す,言語には speak を使います,Can you speak English?,10,,,,
listen,聞く,listen to 〜 の形で使います,I listen to music at night.,10,,,,
watch,見る,動いているものを見るときに使います,We watch TV after dinner.,10,,,,
play,遊ぶ・する,スポーツや楽器に使います,They play soccer at school.,10,,,,
run,走る,過去形は ran です,I run in the park every day.,10,,,,
walk,歩く,take a walk で「散歩する」,Let us walk to the station.,10,,,,
swim,泳ぐ,過去形は swam です,We swim in the sea in summer.,10,,,,
sing,歌う,過去形は sang です,She can sing very well.,10,,,,
help,助ける,help you で「あなたを手伝う」,I help my mother every day.,10,,,,
make,作る,過去形は made です,I make breakfast on Sunday.,10,,,,
take,取る・持っていく,過去形は took です,Please take this umbrella.,10,,,,
get,手に入れる,過去形は got です,I get up at six.,10,,,,
