問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
travel,旅行する、旅行,,I want to travel abroad.,10,,,,,,
abroad,外国へ、海外へ,go abroad に to はつかない,She studied abroad last year.,10,,,,,,
airplane,飛行機,plane とも言う,We went there by airplane.,10,,,,,,
ship,船,,The ship leaves at noon.,10,,,,,,
subway,地下鉄,sub（下の）＋ way（道）,Take the subway to the museum.,10,,,,,,
taxi,タクシー,,Let us take a taxi.,10,,,,,,
passenger,乗客,,The bus was full of passengers.,10,,,,,,
arrive,着く、到着する,arrive at ～ の形で使う,We arrived at ten.,10,,,,,,
leave,出発する、置いていく,意味が2つある,The train leaves at eight.,10,,,,,,
stay,滞在する、とどまる,,We stayed in Kyoto for two days.,10,,,,,,
visit,訪れる,,I visited my grandmother.,10,,,,,,
guide,案内する、案内人,名詞にも動詞にも使う,She was our guide.,10,,,,,,
tour,見学、旅行,,We took a bus tour.,10,,,,,,
luggage,荷物,数えない名詞,My luggage is heavy.,10,,,,,,
passport,パスポート,,Do not forget your passport.,10,,,,,,
foreign,外国の,,I like foreign movies.,10,,,,,,
local,地元の,,We ate local food.,10,,,,,,
souvenir,おみやげ,,I bought a souvenir for my sister.,10,,,,,,
view,ながめ、景色,,The view from here is great.,10,,,,,,
camp,キャンプする、野営,,We camped by the river.,10,,,,,,
