問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
roast,焼く、ローストの,,We had roast beef.,10,,,,,,
rob,奪う,robbery（強盗）から,They robbed the bank.,10,,,,,,
robbery,強盗,rob（奪う）から,The robbery happened at night.,10,,,,,,
rock,岩、ロック音楽,意味が2つある,He likes rock music.,10,,,,,,
roll,転がる、巻く,,The ball rolled away.,10,,,,,,
romance,恋愛,romantic（ロマンチックな）から,The novel is a romance.,10,,,,,,
romantic,ロマンチックな,,It was a romantic dinner.,10,,,,,,
root,根,,The tree has deep roots.,10,,,,,,
rope,綱、ロープ,,Tie it with a rope.,10,,,,,,
roughly,おおよそ、乱暴に,rough（粗い）＋ ly,It takes roughly an hour.,10,,,,,,
round,丸い、一巡,,The table is round.,10,,,,,,
royal,王室の,,They visited the royal palace.,10,,,,,,
ruin,だめにする、廃虚,名詞にも動詞にも使う,Rain ruined our picnic.,10,,,,,,
runner,走る人,run ＋ er,She is a fast runner.,10,,,,,,
running,走ること,run ＋ ing,Running keeps me fit.,10,,,,,,
rush,急ぐ、混雑,名詞にも動詞にも使う,Do not rush your work.,10,,,,,,
sadly,悲しそうに、残念ながら,sad（悲しい）＋ ly,"Sadly, the shop closed.",10,,,,,,
sailing,ヨット遊び、航海,sail（航海する）＋ ing,We went sailing on Sunday.,10,,,,,,
sake,ため,for the sake of ～ の形で使う,Do it for the sake of your health.,10,,,,,,
sandy,砂の,sand（砂）＋ y,The beach is sandy.,10,,,,,,
