問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
bother,悩ませる、手数をかける,,Sorry to bother you.,10,,,,,,
brake,ブレーキ,break と混同しやすい,The brakes are not working.,10,,,,,,
bride,花嫁,,The bride wore white.,10,,,,,,
brilliant,すばらしい、輝く,意味が2つある,That is a brilliant idea.,10,,,,,,
bulb,電球、球根,意味が2つある,Change the light bulb.,10,,,,,,
burn,燃える、やけど,名詞にも動詞にも使う,The paper burned quickly.,10,,,,,,
bury,埋める,y を「エ」と読む,The dog buried the bone.,10,,,,,,
bus station,バス発着所,2語で1つの意味,The bus station is downtown.,10,,,,,,
bus stop,バス停,2語で1つの意味,Wait at the bus stop.,10,,,,,,
bush,やぶ、低木,,A bird hid in the bush.,10,,,,,,
businessman,実業家,business ＋ man,He is a busy businessman.,10,,,,,,
businesswoman,女性の実業家,business ＋ woman,She is a successful businesswoman.,10,,,,,,
campus,大学の構内,,The campus is very green.,10,,,,,,
captain,主将、船長,,She is the team captain.,10,,,,,,
cent,セント,,It costs fifty cents.,10,,,,,,
cereal,シリアル、穀物,,I eat cereal for breakfast.,10,,,,,,
chain,鎖、連鎖,,The bike chain broke.,10,,,,,,
chairman,議長,chair ＋ man,The chairman opened the meeting.,10,,,,,,
championship,選手権,champion（優勝者）から,They won the championship.,10,,,,,,
chapter,章,,Read chapter three.,10,,,,,,
