問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
launch,始める、打ち上げる,,They launched a new service.,10,,,,,,
lawful,合法の,law（法律）＋ ful,It was a lawful act.,10,,,,,,
lay,横たえる、置く,lie（横たわる）と混同しやすい,Lay the baby on the bed.,10,,,,,,
leadership,指導力、統率,leader（指導者）から,She showed strong leadership.,10,,,,,,
leading,主要な、先頭の,lead（導く）から,He is a leading scientist.,10,,,,,,
league,リーグ、連盟,,Our team joined the league.,10,,,,,,
leap,跳ぶ,,The cat leaped onto the wall.,10,,,,,,
legally,法律上、合法的に,legal（法律の）から,You may legally drive at eighteen.,10,,,,,,
lessen,減らす、和らげる,less（より少ない）から,The medicine lessened the pain.,10,,,,,,
lettuce,レタス,,Wash the lettuce well.,10,,,,,,
liar,うそつき,lie（うそをつく）から,Nobody likes a liar.,10,,,,,,
liberate,解放する,liberty（自由）の仲間,The town was liberated in spring.,10,,,,,,
liberation,解放,liberate から,They celebrated their liberation.,10,,,,,,
librarian,図書館の司書,library（図書館）から,The librarian helped me search.,10,,,,,,
lifeguard,（水辺の）監視員,life ＋ guard,The lifeguard blew a whistle.,10,,,,,,
lifelong,生涯にわたる,life ＋ long,They became lifelong friends.,10,,,,,,
lighter,ライター,light（火をつける）から,He put the lighter in his pocket.,10,,,,,,
lightly,軽く,light（軽い）から,Touch the screen lightly.,10,,,,,,
likeness,似ていること,like（似ている）から,The portrait is a good likeness.,10,,,,,,
limit,限界、制限する,意味が2つある,There is a time limit.,10,,,,,,
