問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
puppy,子犬,,The puppy chased its tail.,10,,,,,,
pure,純粋な、きれいな,,This is pure gold.,10,,,,,,
purify,きれいにする、浄化する,pure から,The filter purifies the water.,10,,,,,,
purse,財布、ハンドバッグ,,She took coins from her purse.,10,,,,,,
quake,揺れる、地震,意味が2つある,The ground quaked beneath us.,10,,,,,,
qualified,資格のある,qualify（資格を得る）から,She is a qualified nurse.,10,,,,,,
question mark,疑問符,2語で1つの意味,End the question with a question mark.,10,,,,,,
queue,列、列に並ぶ,英国でよく使う言い方,We queued for an hour.,10,,,,,,
race,人種、競走,意味が2つある,He won the race easily.,10,,,,,,
racial,人種の,race から,They discussed racial equality.,10,,,,,,
rage,激しい怒り,,He shook with rage.,10,,,,,,
rail,レール、手すり,意味が2つある,Hold the rail on the stairs.,10,,,,,,
railroad,鉄道,米国でよく使う言い方,The railroad crosses the plain.,10,,,,,,
railway,鉄道,英国でよく使う言い方,The railway station is new.,10,,,,,,
rainforest,熱帯雨林,rain ＋ forest,The rainforest is disappearing.,10,,,,,,
rank,地位、順位づける,意味が2つある,He holds a high rank.,10,,,,,,
rapid,速い、急な,rapidly（急速に）の仲間,There was rapid growth.,10,,,,,,
rapidly,急速に,,The city grew rapidly.,10,,,,,,
raspberry,ラズベリー、木いちご,,She picked a raspberry.,10,,,,,,
ration,配給、割り当て,,Each family got a ration of rice.,10,,,,,,
