問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
message,伝言、メッセージ,,May I leave a message?,10,,,,,,
call back,折り返し電話する,2語で1つの意味,I will call you back later.,10,,,,,,
hold on,電話を切らずに待つ,2語で1つの意味,"Hold on a moment, please.",10,,,,,,
speaking,（電話で）私です,This is Ken speaking. の形で使う,This is Ken speaking.,10,,,,,,
answer the phone,電話に出る,3語で1つの意味,Can you answer the phone?,10,,,,,,
mobile phone,携帯電話,2語で1つの意味,My mobile phone is broken.,10,,,,,,
text,文章、メールを送る,名詞にも動詞にも使う,I texted my friend.,10,,,,,,
reply,返事、返事をする,,Please reply to my e-mail.,10,,,,,,
send,送る,,I sent a card to my aunt.,10,,,,,,
receive,受け取る,,I received your letter.,10,,,,,,
contact,連絡する、連絡,,Please contact me tomorrow.,10,,,,,,
information,情報,数えない名詞,I need more information.,10,,,,,,
notice,知らせ、気づく,意味が2つある,I did not notice you.,10,,,,,,
announce,知らせる、発表する,,They announced the results.,10,,,,,,
discuss,話し合う,about はつけない,We discussed the problem.,10,,,,,,
promise,約束、約束する,名詞にも動詞にも使う,I promise to help you.,10,,,,,,
advice,助言,数えない名詞,Thank you for your advice.,10,,,,,,
opinion,意見,,What is your opinion?,10,,,,,,
reason,理由,,Tell me the reason.,10,,,,,,
result,結果,,The result was good.,10,,,,,,
