問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
demonstrate that,～を示す,2語で1つの意味,The data demonstrate that costs fell.,10,,,,,,
indicate that,～を示す,2語で1つの意味,The results indicate that it works.,10,,,,,,
reveal that,～を明らかにする,2語で1つの意味,The study reveals that habits matter.,10,,,,,,
suggest that,～を示唆する,2語で1つの意味,The evidence suggests that he is right.,10,,,,,,
emphasize that,～を強調する,2語で1つの意味,She emphasized that safety comes first.,10,,,,,,
maintain that,～と主張し続ける,2語で1つの意味,He maintains that the plan works.,10,,,,,,
acknowledge that,～を認める,2語で1つの意味,They acknowledge that mistakes happen.,10,,,,,,
deny that,～を否定する,2語で1つの意味,She denied that she knew him.,10,,,,,,
estimate that,～と見積もる,2語で1つの意味,They estimate that costs will rise.,10,,,,,,
predict that,～を予測する,2語で1つの意味,Scientists predict that seas will rise.,10,,,,,,
confirm that,～を確認する,2語で1つの意味,The test confirmed that it is safe.,10,,,,,,
assume responsibility,責任を引き受ける,2語で1つの意味,He assumed responsibility for the error.,10,,,,,,
conduct research,研究を行う,2語で1つの意味,They conduct research on sleep.,10,,,,,,
draw a conclusion,結論を導く,3語で1つの意味,Do not draw a conclusion too early.,10,,,,,,
play a role,役割を果たす,3語で1つの意味,Diet plays a role in health.,10,,,,,,
take measures,対策を取る,2語で1つの意味,The city took measures against floods.,10,,,,,,
raise awareness,意識を高める,2語で1つの意味,The campaign raised awareness.,10,,,,,,
meet demand,需要に応える,2語で1つの意味,Supply cannot meet demand.,10,,,,,,
pose a risk,危険をもたらす,3語で1つの意味,The chemical poses a risk.,10,,,,,,
bear in mind,心に留める,3語で1つの意味,Bear in mind that time is short.,10,,,,,,
