問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
entrance ceremony,入学式,2語で1つの意味,The entrance ceremony is in April.,10,,,,,,
graduation ceremony,卒業式,2語で1つの意味,The graduation ceremony was moving.,10,,,,,,
sports day,運動会,2語で1つの意味,Sports day is in October.,10,,,,,,
field trip,遠足、社会科見学,2語で1つの意味,We went on a field trip.,10,,,,,,
school trip,修学旅行,2語で1つの意味,Our school trip was to Kyoto.,10,,,,,,
chorus contest,合唱コンクール,2語で1つの意味,The chorus contest is next week.,10,,,,,,
open class,授業参観,2語で1つの意味,My mother came to the open class.,10,,,,,,
parents day,保護者会の日,2語で1つの意味,Parents day is on Saturday.,10,,,,,,
swimming class,水泳の授業,2語で1つの意味,Swimming class starts in June.,10,,,,,,
marathon race,マラソン大会,2語で1つの意味,The marathon race is in winter.,10,,,,,,
drill,訓練、練習問題,意味が2つある,We had a fire drill.,10,,,,,,
evacuation,避難,evacuate（避難する）から,We practiced evacuation.,10,,,,,,
committee work,委員会活動,2語で1つの意味,I do committee work after class.,10,,,,,,
club activity,部活動,2語で1つの意味,Club activity ends at five.,10,,,,,,
opening speech,開会のあいさつ,2語で1つの意味,He gave the opening speech.,10,,,,,,
closing speech,閉会のあいさつ,2語で1つの意味,The closing speech was short.,10,,,,,,
relay race,リレー,2語で1つの意味,Our class won the relay race.,10,,,,,,
tug of war,綱引き,3語で1つの意味,Tug of war is exciting.,10,,,,,,
cheering squad,応援団,2語で1つの意味,The cheering squad was loud.,10,,,,,,
school festival,学芸会、文化祭,2語で1つの意味,The school festival was fun.,10,,,,,,
