問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
exhaust,使い果たす、疲れさせる,,The trip exhausted us.,10,,,,,,
expose,さらす、暴く,,Do not expose the film to light.,10,,,,,,
extend,延ばす、広げる,extension（延長）から,They extended the deadline.,10,,,,,,
extract,抜き出す、抽出する,,Extract the key points.,10,,,,,,
foster,育てる、促進する,,Schools foster creativity.,10,,,,,,
fulfill,果たす、満たす,,She fulfilled her promise.,10,,,,,,
grasp,つかむ、理解する,意味が2つある,I could not grasp his meaning.,10,,,,,,
halt,停止する、停止,,The train halted suddenly.,10,,,,,,
impose,課す、押しつける,,They imposed a new tax.,10,,,,,,
incorporate,組み入れる,,We incorporated their ideas.,10,,,,,,
inherit,受け継ぐ,,He inherited the house.,10,,,,,,
initiate,始める,initial（最初の）から,They initiated a new program.,10,,,,,,
integrate,統合する,,We integrated the two systems.,10,,,,,,
interfere,干渉する、じゃまする,interfere with ～ の形で使う,Noise interferes with study.,10,,,,,,
justify,正当化する,,How do you justify this cost?,10,,,,,,
minimize,最小にする,minimum（最小）から,Minimize the risk.,10,,,,,,
monitor,監視する、画面,意味が2つある,They monitor the temperature.,10,,,,,,
negotiate terms,条件を交渉する,2語で1つの意味,We negotiated terms carefully.,10,,,,,,
overcome,克服する,over（超えて）＋ come（来る）,She overcame many difficulties.,10,,,,,,
participate,参加する,participate in ～ の形で使う,Everyone participated in the event.,10,,,,,,
