問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
advent,出現、到来,,The advent of the internet changed life.,10,,,,,,
allocation,配分,allocate（割り当てる）から,The budget allocation is fixed.,10,,,,,,
anomaly,異常、例外,,The data showed an anomaly.,10,,,,,,
array,並び、多数,,They offer an array of services.,10,,,,,,
bias in data,データの偏り,3語で1つの意味,We checked for bias in data.,10,,,,,,
coherence,一貫性,coherent（一貫した）から,The essay lacks coherence.,10,,,,,,
commodity,商品、日用品,,Oil is a global commodity.,10,,,,,,
compliance,順守,comply（従う）から,Compliance with the rule is required.,10,,,,,,
component,構成要素、部品,,Each component was tested.,10,,,,,,
constraint,制約,constrain（制約する）から,Time is our main constraint.,10,,,,,,
correlation coefficient,相関係数,2語で1つの意味,The correlation coefficient was high.,10,,,,,,
deficit,赤字、不足,surplus の反対,The country has a trade deficit.,10,,,,,,
surplus,余剰、黒字,deficit の反対,We have a food surplus.,10,,,,,,
discrepancy,食い違い,,There is a discrepancy in the numbers.,10,,,,,,
disposal,処分,dispose（処分する）から,Waste disposal is costly.,10,,,,,,
endeavor,努力、試み,,It was a worthy endeavor.,10,,,,,,
equilibrium,均衡,,The market reached equilibrium.,10,,,,,,
feasibility,実行可能性,feasible（実行可能な）から,We studied the feasibility.,10,,,,,,
incentive,動機づけ、報奨,,Tax cuts are an incentive.,10,,,,,,
inference,推論,infer（推論する）から,That is a reasonable inference.,10,,,,,,
