問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
appreciation,感謝、正しい理解,appreciate（感謝する）から,I express my appreciation.,10,,,,,,
approval,承認、賛成,approve（承認する）から,We need your approval.,10,,,,,,
army,軍隊、陸軍,,He joined the army.,10,,,,,,
arrange,手配する、並べる,意味が2つある,I arranged the meeting.,10,,,,,,
arrangement,手配、配置,arrange（手配する）から,The arrangements are complete.,10,,,,,,
arrest,逮捕する,,Police arrested the suspect.,10,,,,,,
arrow,矢、矢印,,Follow the arrow.,10,,,,,,
artistic,芸術的な,art（芸術）から,She has artistic talent.,10,,,,,,
ashamed,恥じて,shame（恥）から,I am ashamed of my mistake.,10,,,,,,
aside,わきへ,set aside で「取っておく」,"Step aside, please.",10,,,,,,
assist,手伝う,assistant（助手）から,Can you assist me?,10,,,,,,
assistance,援助,assist（手伝う）から,Thank you for your assistance.,10,,,,,,
athletic,運動の,athlete（運動選手）から,He has athletic ability.,10,,,,,,
attachment,添付、愛着,意味が2つある,Open the attachment.,10,,,,,,
attend,出席する、通う,,I attend a music class.,10,,,,,,
attract,引きつける,attractive（魅力的な）から,The park attracts many visitors.,10,,,,,,
attraction,呼びもの、魅力,attract（引きつける）から,The castle is a major attraction.,10,,,,,,
avenue,大通り,,The shop is on Fifth Avenue.,10,,,,,,
aware,気づいて,be aware of ～ の形で使う,Are you aware of the rule?,10,,,,,,
awkward,気まずい、ぎこちない,,There was an awkward silence.,10,,,,,,
