問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
zoning,用途地域の指定,zone（地域）から,Zoning rules limit building height.,10,,,,,,
urban planning,都市計画,2語で1つの意味,Urban planning shapes the city.,10,,,,,,
sanitation,衛生設備,,Sanitation improved public health.,10,,,,,,
water supply,給水,2語で1つの意味,The water supply was cut.,10,,,,,,
sewer,下水道,,The sewer needs repair.,10,,,,,,
grid,送電網、格子,,The power grid failed.,10,,,,,,
utility company,公益事業会社,2語で1つの意味,The utility company raised rates.,10,,,,,,
transit,交通機関、通過,,Public transit is efficient.,10,,,,,,
commuter,通勤者,commute（通勤する）から,Commuters filled the train.,10,,,,,,
congestion charge,渋滞税,2語で1つの意味,London has a congestion charge.,10,,,,,,
overpass,陸橋、高架,over（上）＋ pass（通る）,Take the overpass.,10,,,,,,
tunnel,トンネル,,The tunnel is two kilometers long.,10,,,,,,
landfill site,ごみ埋め立て地,2語で1つの意味,The landfill site is closing.,10,,,,,,
incinerator,焼却炉,,The incinerator burns waste.,10,,,,,,
renewal,再開発、更新,renew（新しくする）から,Urban renewal changed the area.,10,,,,,,
vacant lot,空き地,2語で1つの意味,They built on a vacant lot.,10,,,,,,
property tax,固定資産税,2語で1つの意味,Property tax rose this year.,10,,,,,,
zoning ordinance,用途地域条例,2語で1つの意味,The zoning ordinance was revised.,10,,,,,,
accessibility,利用しやすさ,accessible（近づける）から,Accessibility must improve.,10,,,,,,
resilience,回復力、強じん性,,The city built flood resilience.,10,,,,,,
