問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
motto,モットー、標語,,Our motto is never give up.,10,,,,,,
mount,登る、取りつける,意味が2つある,They mounted the camera on a pole.,10,,,,,,
mountaintop,山頂,mountain ＋ top,Snow covered the mountaintop.,10,,,,,,
mourn,悲しむ、いたむ,,The country mourned its loss.,10,,,,,,
movement,動き、運動,move から,I saw a movement in the bushes.,10,,,,,,
mud,どろ,muddy（どろだらけの）の仲間,His boots were covered in mud.,10,,,,,,
mule,ラバ,ウマとロバの間に生まれる動物,The mule carried the load.,10,,,,,,
murderer,殺人を犯した人,murder（殺人）から,The murderer was caught.,10,,,,,,
mustard,からし、マスタード,,Add mustard to the sandwich.,10,,,,,,
nail,つめ、くぎ,意味が2つある,She cut her nails short.,10,,,,,,
naked,裸の、むき出しの,発音は「ネイキッド」,You can see it with the naked eye.,10,,,,,,
nap,昼寝,,He took a short nap.,10,,,,,,
narrate,語る、ナレーションをする,,She narrated the whole story.,10,,,,,,
nasty,とてもいやな、意地の悪い,,He made a nasty remark.,10,,,,,,
nationalist,国家主義者、民族主義者,nation（国）から,The nationalist gave a speech.,10,,,,,,
naturally,自然に、当然,natural（自然の）から,"Naturally, she was pleased.",10,,,,,,
navy blue,濃い紺色の,2語で1つの意味,He wore a navy blue jacket.,10,,,,,,
nearby,近くの,near から,There is a nearby park.,10,,,,,,
necklace,ネックレス、首かざり,neck ＋ lace,She wore a pearl necklace.,10,,,,,,
nectar,花のみつ,,Bees collect nectar from flowers.,10,,,,,,
