問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
function,関数、機能,意味が2つある,Graph this function.,10,,,,,,
coordinate,座標、調整する,意味が2つある,Plot the coordinate on the graph.,10,,,,,,
quadratic,二次の,,Solve the quadratic equation.,10,,,,,,
linear,一次の、直線の,,This is a linear equation.,10,,,,,,
slope,傾き、坂,意味が2つある,Find the slope of the line.,10,,,,,,
intercept,切片、さえぎる,,The y-intercept is three.,10,,,,,,
exponent,指数,,The exponent is two.,10,,,,,,
logarithm,対数,,Take the logarithm of both sides.,10,,,,,,
sequence of numbers,数列,3語で1つの意味,Find the next sequence of numbers.,10,,,,,,
sum total,総和,2語で1つの意味,Calculate the sum total.,10,,,,,,
vector,ベクトル,,A vector has size and direction.,10,,,,,,
matrix,行列,複数形は matrices,Multiply the matrix by two.,10,,,,,,
derivative,導関数、微分,,Find the derivative of the function.,10,,,,,,
integral,積分、不可欠な,意味が2つある,Calculate the integral.,10,,,,,,
theorem,定理,,Use the Pythagorean theorem.,10,,,,,,
proof,証明、証拠,,Write out the proof.,10,,,,,,
congruent,合同の,,These two triangles are congruent.,10,,,,,,
similar figure,相似な図形,2語で1つの意味,These are similar figures.,10,,,,,,
permutation,順列,,Count the permutations.,10,,,,,,
combination,組み合わせ,combine（組み合わせる）から,How many combinations are there?,10,,,,,,
