問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3
引く,ひく,手前に力を入れて動かすこと,,15,ひく,,,
羽,はね,鳥が空をとぶための体の一部,,15,はね,,,
雲,くも,空にうかぶ白いかたまり,,15,くも,,,
花園,はなぞの,花がたくさんさく場所,,15,はなぞの,,,
遠い,とおい,きょりがはなれている,,15,とおい,,,
黄色,きいろ,たまごのきみのような色,,15,きいろ,,,
何回,なんかい,どれくらいの回数か,,15,なんかい,,,
夏,なつ,一年でいちばん暑いきせつ,,15,なつ,,,
家,いえ,人が住むたてもの,,15,いえ,,,
理科,りか,しぜんについて学ぶ教科,,15,りか,,,
歌,うた,ふしをつけて声に出すもの,,15,うた,,,
図画,ずが,絵をかくこと,,15,ずが,,,
会う,あう,人と顔をあわせる,,15,あう,,,
回る,まわる,ぐるぐると動く,,15,まわる,,,
海,うみ,しおからい水が広がるところ,,15,うみ,,,
絵,え,物の形を紙にかいたもの,,15,え,,,
外,そと,たてもののそとがわ,,15,そと,,,
三角,さんかく,かどが三つある形,,15,さんかく,,,
音楽,おんがく,音をならしてたのしむもの,,15,おんがく,,,
生活,せいかつ,毎日のくらし,,15,せいかつ,,,
時間,じかん,とけいではかる長さ,,15,じかん,,,
丸い,まるい,かどがなくてまるい形,,15,まるい,,,
岩,いわ,とても大きくてかたい石,,15,いわ,,,
顔,かお,目や口があるところ,,15,かお,,,
帰る,かえる,もとの場所へもどる,,15,かえる,,,
汽車,きしゃ,けむりを出して走る乗り物,,15,きしゃ,,,
日記,にっき,その日のできごとを書くもの,,15,にっき,,,
弓,ゆみ,矢をとばす道具,,15,ゆみ,,,
牛,うし,ちちを出す大きな動物,,15,うし,,,
魚,さかな,水の中でくらす生きもの,,15,さかな,,,
東京,とうきょう,日本の中心となる都市,,15,とうきょう,,,
強い,つよい,力があってまけない,,15,つよい,,,
教える,おしえる,知っていることを人に伝える,,15,おしえる,,,
近い,ちかい,きょりがみじかい,,15,ちかい,,,
兄,あに,年上の男のきょうだい,,15,あに,,,
形,かたち,物のすがたやかっこう,,15,かたち,,,
計算,けいさん,数をかぞえて答えを出すこと,,15,けいさん,,,
足元,あしもと,立っているところのすぐ下,,15,あしもと,,,
原っぱ,はらっぱ,草がはえた広い場所,,15,はらっぱ,,,
言う,いう,口に出して話す,,15,いう,,,
古い,ふるい,新しくない,,15,ふるい,,,
戸,と,出入り口をふさぐもの,,15,と,,,
午後,ごご,昼をすぎてからの時間,,15,ごご,,,
後ろ,うしろ,せなかのある方,,15,うしろ,,,
国語,こくご,ことばについて学ぶ教科,,15,こくご,,,
交通,こうつう,人や車の行き来,,15,こうつう,,,
光る,ひかる,まぶしくかがやく,,15,ひかる,,,
公園,こうえん,みんなであそべる広い場所,,15,こうえん,,,
工作,こうさく,紙や木で物を作ること,,15,こうさく,,,
広い,ひろい,場所のはばが大きい,,15,ひろい,,,
考える,かんがえる,頭を使ってあれこれ思う,,15,かんがえる,,,
行く,いく,その場所へ向かう,,15,いく,,,
高い,たかい,上までのきょりが大きい,,15,たかい,,,
合わせる,あわせる,二つ以上を一つにする,,15,あわせる,,,
国,くに,人々が集まってできたまとまり,,15,くに,,,
黒い,くろい,すみのような色,,15,くろい,,,
今,いま,ちょうどこの時,,15,いま,,,
天才,てんさい,とくべつな力を持つ人,,15,てんさい,,,
細い,ほそい,はばがせまい,,15,ほそい,,,
作る,つくる,手を動かして物を生み出す,,15,つくる,,,
算数,さんすう,数について学ぶ教科,,15,さんすう,,,
姉,あね,年上の女のきょうだい,,15,あね,,,
市場,いちば,物を売り買いする場所,,15,いちば,,,
思う,おもう,心の中で考える,,15,おもう,,,
止まる,とまる,動きがなくなる,,15,とまる,,,
紙,かみ,字や絵をかくうすいもの,,15,かみ,,,
寺,てら,おぼうさんがいるたてもの,,15,てら,,,
時,とき,あるできごとがおきたそのころ,,15,とき,,,
自分,じぶん,わたし本人のこと,,15,じぶん,,,
教室,きょうしつ,学校で勉強するへや,,15,きょうしつ,,,
会社,かいしゃ,人が集まって仕事をするところ,,15,かいしゃ,,,
弱い,よわい,力がすくない,,15,よわい,,,
首,くび,頭と体をつなぐところ,,15,くび,,,
秋,あき,すずしくなるきせつ,,15,あき,,,
一週間,いっしゅうかん,七日のまとまり,,15,いっしゅうかん,,,
春,はる,花がさくあたたかいきせつ,,15,はる,,,
書く,かく,字をしるす,,15,かく,,,
少ない,すくない,数がわずかである,,15,すくない,,,
広場,ひろば,何もない広いところ,,15,ひろば,,,
色,いろ,赤や青などの見え方,,15,いろ,,,
食べる,たべる,口に入れて体の元にする,,15,たべる,,,
心,こころ,気持ちが生まれるところ,,15,こころ,,,
新しい,あたらしい,できたばかりである,,15,あたらしい,,,
親,おや,子どもを育てる人,,15,おや,,,
地図,ちず,土地のようすを表した絵,,15,ちず,,,
数える,かぞえる,いくつあるか調べる,,15,かぞえる,,,
星,ほし,夜空に光る点,,15,ほし,,,
晴れる,はれる,雲がなくなって空が明るくなる,,15,はれる,,,
声,こえ,口から出る音,,15,こえ,,,
西,にし,日がしずむ方角,,15,にし,,,
切る,きる,はもので分ける,,15,きる,,,
