問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
allow,許す,allow A to ～ の形で使う,My parents allow me to go.,10,,,,,,
contain,含む,,This drink contains sugar.,10,,,,,,
occur,起こる,happen よりかたい言い方,The accident occurred at noon.,10,,,,,,
seem,～のように見える,,She seems happy.,10,,,,,,
reduce waste,ごみを減らす,2語で1つの意味,We must reduce waste.,10,,,,,,
prepare for,～に備える,2語で1つの意味,Prepare for the test.,10,,,,,,
depend on,～に頼る、～次第だ,2語で1つの意味,It depends on the weather.,10,,,,,,
deal with,～を扱う、対処する,2語で1つの意味,How do you deal with stress?,10,,,,,,
refer to,～に言及する,2語で1つの意味,The book refers to this event.,10,,,,,,
consist of,～から成る,2語で1つの意味,The team consists of ten players.,10,,,,,,
