問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
motivation,動機、意欲,motivate（動機づける）から,Motivation is the key to success.,10,,,,,,
ambition,野心、志,,She has great ambition.,10,,,,,,
determination,決意,determine（決心する）から,His determination impressed me.,10,,,,,,
discipline,規律、しつけ,,Discipline is needed in sports.,10,,,,,,
habit,習慣,break a habit で「習慣をやめる」,Reading is a good habit.,10,,,,,,
instinct,本能、直感,,Animals act on instinct.,10,,,,,,
intuition,直感,,Trust your intuition.,10,,,,,,
memory,記憶、思い出,,I have a good memory.,10,,,,,,
perception,知覚、認識,perceive（知覚する）から,Perception differs among people.,10,,,,,,
reaction,反応,react（反応する）から,What was his reaction?,10,,,,,,
reputation,評判,,The shop has a good reputation.,10,,,,,,
self-esteem,自尊心,2語で1つの意味,Praise builds self-esteem.,10,,,,,,
temper,気性、かんしゃく,lose one temper で「かっとなる」,He has a quick temper.,10,,,,,,
willingness,進んでする気持ち,willing（進んで～する）から,I admire your willingness to help.,10,,,,,,
awareness,意識、認識,aware（気づいて）から,We need more awareness of the issue.,10,,,,,,
concentration,集中,concentrate（集中する）から,This task requires concentration.,10,,,,,,
inspiration,ひらめき、着想,inspire（ひらめかせる）から,Nature gave her inspiration.,10,,,,,,
preference,好み,prefer（好む）から,What is your preference?,10,,,,,,
reluctance,気が進まないこと,reluctant（気が進まない）から,He agreed with reluctance.,10,,,,,,
