問題,答え,解説,例文,制限時間,読み,誤答1,誤答2,誤答3,セット,画像
fault,欠点、責任,,It is not your fault.,10,,,,,,
favor,親切な行い,Can you do me a favor? でよく使う,May I ask a favor?,10,,,,,,
fear,恐れ,,She has a fear of heights.,10,,,,,,
feather,羽根,,The bird lost a feather.,10,,,,,,
feature,特徴、機能,,This phone has a new feature.,10,,,,,,
fee,料金,,The entrance fee is 500 yen.,10,,,,,,
female,女性の,male の対,The female bird is smaller.,10,,,,,,
male,男性の,female の対,A male lion has a mane.,10,,,,,,
fence,さく、へい,,The fence is painted white.,10,,,,,,
fiction,作り話、小説,nonfiction の対,I prefer science fiction.,10,,,,,,
figure,数字、人物像,意味が2つある,Look at the figures in the table.,10,,,,,,
film,映画、フィルム,意味が2つある,We watched an old film.,10,,,,,,
final,最後の、決勝,,This is the final question.,10,,,,,,
first name,名前,last name の対,My first name is Ken.,10,,,,,,
fisherman,漁師,fish ＋ man,The fisherman went out at dawn.,10,,,,,,
fit,合う、健康な,意味が2つある,These shoes fit me well.,10,,,,,,
flight,飛行、便,fly（飛ぶ）から,The flight takes two hours.,10,,,,,,
float,浮かぶ,sink の反対,Wood floats on water.,10,,,,,,
flour,小麦粉,flower と同じ発音,Add two cups of flour.,10,,,,,,
fog,霧,foggy（霧の）から,The fog is thick this morning.,10,,,,,,
